"Date","Spot exchange rate, Euro into US $                          XUDLERD"
"19 Nov 20","0.8446"
"18 Nov 20","0.842"
"17 Nov 20","0.842"
"16 Nov 20","0.8449"
"13 Nov 20","0.846"
"12 Nov 20","0.8467"
"11 Nov 20","0.8505"
"10 Nov 20","0.8459"
"09 Nov 20","0.8455"
"06 Nov 20","0.8419"
"05 Nov 20","0.8515"
"04 Nov 20","0.8538"
"03 Nov 20","0.8523"
"02 Nov 20","0.8595"
"30 Oct 20","0.8586"
"29 Oct 20","0.8576"
"28 Oct 20","0.851"
"27 Oct 20","0.8452"
"26 Oct 20","0.8463"
"23 Oct 20","0.8448"
"22 Oct 20","0.8455"
"21 Oct 20","0.8421"
"20 Oct 20","0.8452"
"19 Oct 20","0.8488"
"16 Oct 20","0.8533"
"15 Oct 20","0.8547"
"14 Oct 20","0.8505"
"13 Oct 20","0.8514"
"12 Oct 20","0.8465"
"09 Oct 20","0.8465"
"08 Oct 20","0.8512"
"07 Oct 20","0.8503"
"06 Oct 20","0.8483"
"05 Oct 20","0.8481"
"02 Oct 20","0.8536"
"01 Oct 20","0.8519"
"30 Sep 20","0.8529"
"29 Sep 20","0.8524"
"28 Sep 20","0.8588"
"25 Sep 20","0.8607"
"24 Sep 20","0.8591"
"23 Sep 20","0.8569"
"22 Sep 20","0.8543"
"21 Sep 20","0.8516"
"18 Sep 20","0.8431"
"17 Sep 20","0.8457"
"16 Sep 20","0.8442"
"15 Sep 20","0.8438"
"14 Sep 20","0.8423"
"11 Sep 20","0.8453"
"10 Sep 20","0.8422"
"09 Sep 20","0.8469"
"08 Sep 20","0.848"
"07 Sep 20","0.8456"
"04 Sep 20","0.8483"
"03 Sep 20","0.8451"
"02 Sep 20","0.8446"
"01 Sep 20","0.8363"
"28 Aug 20","0.8405"
"27 Aug 20","0.8482"
"26 Aug 20","0.8462"
"25 Aug 20","0.8458"
"24 Aug 20","0.8465"
"21 Aug 20","0.8489"
"20 Aug 20","0.8445"
"19 Aug 20","0.8406"
"18 Aug 20","0.8389"
"17 Aug 20","0.8427"
"14 Aug 20","0.8454"
"13 Aug 20","0.8446"
"12 Aug 20","0.8471"
"11 Aug 20","0.85"
"10 Aug 20","0.8499"
"07 Aug 20","0.8483"
"06 Aug 20","0.8439"
"05 Aug 20","0.8415"
"04 Aug 20","0.8491"
"03 Aug 20","0.8521"
"31 Jul 20","0.8454"
"30 Jul 20","0.848"
"29 Jul 20","0.8493"
"28 Jul 20","0.8526"
