Date,NAV
20100201,8.77815668
20100202,8.84470401
20100203,8.8398237
20100204,8.49101287
20100205,8.32098564
20100208,8.25852682
20100209,8.41298314
20100210,8.39418809
20100211,8.51556929
20100212,8.45973366
20100215,8.45913874
20100216,8.60321109
20100217,8.69424837
20100218,8.68359429
20100219,8.60430562
20100222,8.70921821
20100223,8.63506091
20100224,8.60829015
20100225,8.47690828
20100226,8.59077164
20100301,8.69574223
20100302,8.79900008
20100303,8.87122699
20100304,8.81607701
20100305,8.95695829
20100308,9.06469964
20100309,9.06010369
20100310,9.1212647
20100311,9.08999989
20100312,9.13622957
20100315,9.03714777
20100316,9.10373707
20100317,9.27363585
20100318,9.21441153
20100319,9.12584892
20100322,9.03771033
20100323,9.05041897
20100324,9.01384038
20100325,8.9509093
20100326,8.95949457
20100329,9.09057389
20100330,9.17881749
20100331,9.19371584
20100401,9.35939946
20100402,9.35918536
20100405,9.42607932
20100406,9.45235717
20100407,9.49035353
20100408,9.42591153
20100409,9.53441313
20100412,9.51776747
20100413,9.43367664
20100414,9.52523908
20100415,9.52805207
20100416,9.35712029
20100419,9.16406303
20100420,9.28550611
20100421,9.28227775
20100422,9.23436786
20100423,9.25431018
20100426,9.36901067
20100427,9.19365818
20100428,9.07409507
20100429,9.14920004
20100430,9.21223273
20100503,9.1277449
20100504,8.92112908
20100505,8.71534111
20100506,8.55026664
20100507,8.37635489
20100510,8.81017514
20100511,8.68715209
20100512,8.78479683
20100513,8.82800316
20100514,8.65151447
20100517,8.50076374
20100518,8.5201091
20100519,8.27849716
20100520,8.05154302
20100521,8.09486047
20100524,8.17154025
20100525,7.85638124
20100526,8.12023958
20100527,8.34447955
20100528,8.4140448
20100531,8.41346197
20100601,8.32215019
20100602,8.35840572
20100603,8.47837764
20100604,8.33288411
20100607,8.14168366
20100608,8.16654311
20100609,8.22801051
20100610,8.37486366
20100611,8.46191623
20100614,8.56552864
20100615,8.65838098
20100616,8.67211766
20100617,8.67730586
20100618,8.71676613
20100621,8.96118267
20100622,8.86560689
20100623,8.80133364
20100624,8.70829499
20100625,8.69633325
20100628,8.71967868
20100629,8.46573962
20100630,8.41048186
20100701,8.34929238
20100702,8.37930733
20100705,8.37871719
20100706,8.54822569
20100707,8.56181689
20100708,8.62505563
20100709,8.72818458
20100712,8.73643185
20100713,8.77759117
20100714,8.79149307
20100715,8.72123068
20100716,8.63385426
20100719,8.61606397
20100720,8.71272886
20100721,8.8144663
20100722,8.93858546
20100723,9.01179945
20100726,9.04246838
20100727,9.082571
20100728,9.0862135
20100729,9.10286175
20100730,9.08102927
20100802,9.30020594
20100803,9.23232647
20100804,9.25650873
20100805,9.25041775
20100806,9.25792018
20100809,9.29310186
20100810,9.14440096
20100811,8.95155508
20100812,8.90966731
20100813,8.91766665
20100816,8.9756885
20100817,9.03894945
20100818,9.01726847
20100819,9.01427581
20100820,8.96223929
20100823,8.93455597
20100824,8.81023279
20100825,8.74144885
20100826,8.76145425
20100827,8.81972588
20100830,8.81451173
20100831,8.79535322
20100901,8.97403908
20100902,9.03880769
20100903,9.10594464
20100906,9.10531317
20100907,9.13254361
20100908,9.10757137
20100909,9.15097839
20100910,9.17691023
20100913,9.37499286
20100914,9.391288
20100915,9.39203444
20100916,9.33267923
20100917,9.35897676
20100920,9.43143499
20100921,9.41617199
20100922,9.45834853
20100923,9.44804535
20100924,9.49813405
20100927,9.55971542
20100928,9.54747373
20100929,9.64578243
20100930,9.6898468
20101001,9.7588779
20101004,9.83050466
20101005,9.91689906
20101006,9.97045356
20101007,9.93046881
20101008,9.93784984
20101011,10.03004284
20101012,10.01762343
20101013,10.1841814
20101014,10.27403853
20101015,10.24203284
20101018,10.16614963
20101019,10.06379934
20101020,10.06783559
20101021,10.1028533
20101022,10.0609641
20101025,10.1649802
20101026,10.19934439
20101027,10.00082476
20101028,10.04381488
20101029,10.05183101
20101101,10.2006704
20101102,10.22894505
20101103,10.35565627
20101104,10.55617896
20101105,10.62404078
20101108,10.6035007
20101109,10.56505915
20101110,10.51035269
20101111,10.50657794
20101112,10.32589257
20101115,10.2354949
20101116,10.07290144
20101117,9.98388246
20101118,10.1364135
20101119,10.1488081
20101122,10.14051574
20101123,9.8945666
20101124,10.00096719
20101125,10.00073677
20101126,9.90062199
20101129,9.90224006
20101130,9.85451193
20101201,10.04644987
20101202,10.20862936
20101203,10.244024
20101206,10.24735604
20101207,10.28199163
20101208,10.16059114
20101209,10.15798641
20101210,10.14120986
20101213,10.22741904
20101214,10.28513887
20101215,10.17951416
20101216,10.11753788
20101217,10.1397613
20101220,10.10889617
20101221,10.26064431
20101222,10.29129456
20101223,10.29825579
20101224,10.29801597
20101227,10.28615054
20101228,10.25432009
20101229,10.37010724
20101230,10.44349226
20101231,10.50748451
20110103,10.63737178
20110104,10.66252155
20110105,10.61937444
20110106,10.50220717
20110107,10.43713921
20110110,10.34667469
20110111,10.45818042
20110112,10.65625075
20110113,10.69040897
20110114,10.64732755
20110117,10.64675642
20110118,10.64935889
20110119,10.68917825
20110120,10.50686758
20110121,10.48207225
20110124,10.45277088
20110125,10.43427351
20110126,10.49247314
20110127,10.52316512
20110128,10.39212527
20110131,10.40104447
20110201,10.51975543
20110202,10.58463998
20110203,10.55755109
20110204,10.54186683
20110207,10.46288781
20110208,10.49564105
20110209,10.32985374
20110210,10.12232478
20110211,10.18183911
20110214,10.27848599
20110215,10.24701694
20110216,10.33762762
20110217,10.37067526
20110218,10.45226273
20110221,10.45170867
20110222,10.28397306
20110223,10.20835038
20110224,10.12591043
20110225,10.24529768
20110228,10.37677477
20110301,10.41160347
20110302,10.39250014
20110303,10.49892267
20110304,10.58457226
20110307,10.54529086
20110308,10.5969496
20110309,10.58427113
20110310,10.40822902
20110311,10.3450742
20110314,10.43325887
20110315,10.20668818
20110316,10.21726971
20110317,10.18180433
20110318,10.182609
20110321,10.27939634
20110322,10.35819403
20110323,10.4110946
20110324,10.50451329
20110325,10.57211874
20110328,10.51243488
20110329,10.5355283
20110330,10.55956999
20110331,10.65834677
20110401,10.7940711
20110404,10.87257252
20110405,10.88432808
20110406,10.99104775
20110407,10.97023393
20110408,11.00881993
20110411,10.95436868
20110412,10.73781099
20110413,10.77075003
20110414,10.70121171
20110415,10.69513025
20110418,10.46980154
20110419,10.54712989
20110420,10.78866551
20110421,10.88077184
20110422,10.88057971
20110425,10.8433298
20110426,10.86903993
20110427,10.85901765
20110428,10.84685048
20110429,10.88945085
20110502,10.87444381
20110503,10.69517214
20110504,10.58149543
20110505,10.46479176
20110506,10.52399862
20110509,10.49362382
20110510,10.55663896
20110511,10.50177934
20110512,10.35906686
20110513,10.32916191
20110516,10.27651881
20110517,10.22533642
20110518,10.29200984
20110519,10.30885756
20110520,10.27371236
20110523,10.05826091
20110524,10.18401622
20110525,10.14491885
20110526,10.2269384
20110527,10.36348977
20110530,10.36294341
20110531,10.55139096
20110601,10.54090456
20110602,10.5040023
20110603,10.46552279
20110606,10.40576871
20110607,10.48251656
20110608,10.42832437
20110609,10.42491703
20110610,10.29613357
20110613,10.26299566
20110614,10.33666864
20110615,10.25369661
20110616,10.10415006
20110617,10.09967182
20110620,10.0498779
20110621,10.15070642
20110622,10.14655102
20110623,10.0157648
20110624,10.0774163
20110627,10.07662509
20110628,10.17706592
20110629,10.19392766
20110630,10.31446801
20110701,10.40167317
20110704,10.40112212
20110705,10.43658244
20110706,10.36227504
20110707,10.44129422
20110708,10.382877
20110711,10.16924956
20110712,10.02871778
20110713,10.17049549
20110714,10.13065338
20110715,10.12224797
20110718,9.99504683
20110719,10.076452
20110720,10.13349545
20110721,10.23353619
20110722,10.29143967
20110725,10.2758572
20110726,10.34265166
20110727,10.24132528
20110728,10.22916384
20110729,10.18085857
20110801,10.22172132
20110802,10.04399289
20110803,9.84849719
20110804,9.57636047
20110805,9.32951416
20110808,8.85816188
20110809,8.68587146
20110810,8.75288031
20110811,8.86240303
20110812,8.89749029
20110815,9.16155169
20110816,9.12479995
20110817,9.18833768
20110818,8.90326981
20110819,8.79099038
20110822,8.79810494
20110823,8.92359691
20110824,8.89171172
20110825,8.82959131
20110826,8.84673009
20110829,9.1144868
20110830,9.1645778
20110831,9.3271466
20110901,9.34981351
20110902,9.18740971
20110905,9.18691019
20110906,8.92467525
20110907,9.09728745
20110908,9.15511646
20110909,8.94501701
20110912,8.74977676
20110913,8.68458788
20110914,8.66784044
20110915,8.79865279
20110916,8.86556266
20110919,8.62405771
20110920,8.65515879
20110921,8.5321916
20110922,7.99469376
20110923,7.84385379
20110926,7.835091
20110927,8.17632023
20110928,8.04846081
20110929,8.05172136
20110930,7.92259415
20111003,7.66405462
20111004,7.52594727
20111005,7.60053775
20111006,7.81792754
20111007,7.94263515
20111010,8.1033615
20111011,8.16596237
20111012,8.28538137
20111013,8.29672425
20111014,8.36239149
20111017,8.35751825
20111018,8.26967674
20111019,8.3211633
20111020,8.11814292
20111021,8.23303606
20111024,8.46734084
20111025,8.51013209
20111026,8.55736438
20111027,8.85536803
20111028,8.98884072
20111031,8.84923041
20111101,8.58770992
20111102,8.69851211
20111103,8.71244102
20111104,8.78548173
20111107,8.82200073
20111108,8.8632492
20111109,8.70730056
20111110,8.57332968
20111111,8.70753797
20111114,8.7143206
20111115,8.66598394
20111116,8.62636253
20111117,8.54211965
20111118,8.40026563
20111121,8.15392395
20111122,8.13366149
20111123,7.93059004
20111124,7.93044559
20111125,7.8816225
20111128,8.11712877
20111129,8.11808844
20111130,8.36676114
20111201,8.57557088
20111202,8.59808288
20111205,8.66691041
20111206,8.533432
20111207,8.56915266
20111208,8.46602334
20111209,8.38373775
20111212,8.2562885
20111213,8.22377056
20111214,8.09196331
20111215,8.06689833
20111216,8.08906092
20111219,7.99476202
20111220,8.11008113
20111221,8.20201065
20111222,8.26055717
20111223,8.31802928
20111226,8.31835585
20111227,8.31331653
20111228,8.2055173
20111229,8.21506699
20111230,8.24082595
20120102,8.24038826
20120103,8.44295361
20120104,8.42683661
20120105,8.39381684
20120106,8.38383399
20120109,8.43469626
20120110,8.61030052
20120111,8.611993
20120112,8.65510973
20120113,8.61984323
20120116,8.63184916
20120117,8.78568774
20120118,8.87407494
20120119,8.95409012
20120120,8.95853227
20120123,9.0242956
20120124,8.9958029
20120125,9.00162035
20120126,9.16721005
20120127,9.17056699
20120130,9.11852708
20120131,9.24512334
20120201,9.35991155
20120202,9.47361974
20120203,9.53509263
20120206,9.51418039
20120207,9.53936154
20120208,9.63761758
20120209,9.62704053
20120210,9.44941652
20120213,9.56157445
20120214,9.49851056
20120215,9.5852778
20120216,9.51215156
20120217,9.61941462
20120220,9.66552953
20120221,9.62503447
20120222,9.60351937
20120223,9.58211546
20120224,9.68632925
20120227,9.61088538
20120228,9.70429828
20120229,9.81071234
20120301,9.79546473
20120302,9.8063475
20120305,9.68986953
20120306,9.4422233
20120307,9.4196279
20120308,9.55173621
20120309,9.60738266
20120312,9.54354859
20120313,9.70592179
20120314,9.70142449
20120315,9.69618348
20120316,9.66356929
20120319,9.61776987
20120320,9.49184693
20120321,9.47428944
20120322,9.39396069
20120323,9.42158907
20120326,9.47118923
20120327,9.53399861
20120328,9.41267414
20120329,9.29570186
20120330,9.38542862
20120402,9.40923825
20120403,9.44995139
20120404,9.27414442
20120405,9.2554815
20120406,9.25531712
20120409,9.25482268
20120410,9.0846576
20120411,9.09290317
20120412,9.19817171
20120413,9.19833971
