Date,NAV
20080509,25.1651
20080512,25.590944
20080513,25.786463
20080514,25.80841
20080515,26.088817
20080516,26.053199
20080519,25.995988
20080520,25.848473
20080521,25.562501
20080522,25.747164
20080523,25.453224
20080526,25.452787
20080527,25.796034
20080528,25.918377
20080529,26.145247
20080530,26.286112
20080602,26.025427
20080603,25.969766
20080604,26.112823
20080605,26.728184
20080606,25.934689
20080609,25.803066
20080610,25.743949
20080611,25.228233
20080612,25.277842
20080613,25.744703
20080616,26.02739
20080617,25.878222
20080618,25.696278
20080619,25.934988
20080620,25.570463
20080623,25.334398
20080624,24.957615
20080625,25.231176
20080626,24.670632
20080627,24.541838
20080630,24.303346
20080701,24.345194
20080702,23.677596
20080703,23.459295
20080704,23.45904
20080707,23.219176
20080708,23.942546
20080709,23.361691
20080710,23.536546
20080711,23.620232
20080714,23.298373
20080715,23.176263
20080716,23.964951
20080717,24.319137
20080718,24.242203
20080721,24.367208
20080722,24.9837
20080723,25.086712
20080724,24.468538
20080725,24.687224
20080728,24.270455
20080729,24.925186
20080730,25.051331
20080731,24.877374
20080801,24.917157
20080804,24.581838
20080805,25.296106
20080806,25.420787
20080807,25.104392
20080808,25.842297
20080811,26.438305
20080812,26.221007
20080813,26.276568
20080814,26.462671
20080815,26.511106
20080818,26.111469
20080819,25.701686
20080820,25.719867
20080821,25.517961
20080822,25.959657
20080825,25.380195
20080826,25.495742
20080827,25.787611
20080828,26.221584
20080829,25.957413
20080901,25.956515
20080902,25.953815
20080903,26.031643
20080904,25.248332
20080905,25.276955
20080908,25.799267
20080909,25.032718
20080910,25.386681
20080911,25.53487
20080912,25.580505
20080915,24.64663
20080916,25.379884
20080917,24.340868
20080918,25.80084
20080919,26.656318
20080922,25.544903
20080923,25.217484
20080924,24.799356
20080925,25.044918
20080926,25.098096
20080929,23.651833
20080930,24.243162
20081001,24.11371
20081002,22.912229
20081003,22.313244
20081006,21.621154
20081007,20.407419
20081008,19.994831
20081009,18.363611
20081010,19.075749
20081013,20.678479
20081014,20.231058
20081015,18.384445
20081016,19.445365
20081017,19.136548
20081020,19.875035
20081021,19.291995
20081022,18.246455
20081023,17.750478
20081024,17.111467
20081027,16.382008
20081028,17.587547
20081029,17.922994
20081030,18.706299
20081031,19.508877
20081103,19.541166
20081104,19.74223
20081105,18.727749
20081106,18.100345
20081107,18.356553
20081110,17.954028
20081111,17.598335
20081112,16.617688
20081113,17.907547
20081114,16.751027
20081117,16.511551
20081118,16.427598
20081119,15.201749
20081120,14.279761
20081121,15.092212
20081124,16.097416
20081125,16.323024
20081126,17.198984
20081127,17.198984
20081128,17.354318
20081201,15.460593
20081202,16.270746
20081203,16.729528
20081204,16.255835
20081205,16.956321
20081208,17.617173
20081209,17.086743
20081210,17.454363
20081211,16.56941
20081212,17.148923
20081215,16.611886
20081216,17.669444
20081217,17.848034
20081218,17.548219
20081219,17.800663
20081222,17.442733
20081223,17.189552
20081224,17.202698
20081229,17.113268
20081230,17.740767
20081231,18.265854
20090102,18.513201
20090105,18.355587
20090106,18.645281
20090107,17.982062
20090108,18.058031
20090109,17.355972
20090112,16.926317
20090113,17.064855
20090114,16.346617
20090115,16.647146
20090116,16.825193
20090119,16.825193
20090120,15.692562
20090121,16.414431
20090122,15.936473
20090123,15.970253
20090126,16.139892
20090127,16.352669
20090128,16.978192
20090129,16.264094
20090130,15.930309
20090202,16.05844
20090203,16.142629
20090204,16.036646
20090205,16.269132
20090206,16.861441
20090209,16.703221
20090210,15.926272
20090211,15.993983
20090212,16.093114
20090213,15.994128
20090216,15.994128
20090217,15.331642
20090218,15.165076
20090219,14.964774
20090220,14.837861
20090223,14.245625
20090224,14.806659
20090225,14.475099
20090226,14.193015
20090227,14.070696
20090302,13.353638
20090303,13.109429
20090304,13.441608
20090305,12.708519
20090306,12.706217
20090309,12.436695
20090310,13.286503
20090311,13.289844
20090312,14.03282
20090313,14.182776
20090316,13.970554
20090317,14.508437
20090318,15.026499
20090319,14.85571
20090320,14.384497
20090323,15.537295
20090324,14.953172
20090325,15.275876
20090326,15.959903
20090327,15.447601
20090330,14.978845
20090331,15.222783
20090401,15.47032
20090402,16.231264
20090403,16.46198
20090406,16.162551
20090407,15.589079
20090408,15.922111
20090409,16.935192
20090414,16.390806
20090415,16.62914
20090416,17.142608
20090417,17.389011
20090420,16.45791
20090421,17.052132
20090422,17.14974
20090423,16.993957
20090424,17.431798
20090427,17.116012
20090428,17.248947
20090429,17.879597
20090430,17.786456
20090501,17.752623
20090504,18.440005
20090505,18.255799
20090506,18.364926
20090507,17.981042
20090508,18.608986
20090511,18.168624
20090512,17.871378
20090513,17.048733
20090514,17.324743
20090515,17.195723
20090518,17.871544
20090519,17.78826
20090520,17.62914
20090521,17.333061
20090522,17.184701
20090525,17.184136
20090526,18.007415
20090527,17.611522
20090528,17.644616
20090529,17.947303
20090601,18.682282
20090602,18.874263
20090603,18.699468
20090604,19.013942
20090605,18.938633
20090608,18.77058
20090609,18.881172
20090610,18.709328
20090611,18.720901
20090612,18.69714
20090615,18.193158
20090616,17.889729
20090617,18.005984
20090618,18.125677
20090619,18.23079
20090622,17.544627
20090623,17.408248
20090624,17.46445
20090625,17.937104
20090626,18.143708
20090629,18.148386
20090630,18.074214
20090701,18.475513
20090702,17.739976
20090703,17.739976
20090706,17.657394
20090707,17.354581
20090708,17.251321
20090709,17.26894
20090710,17.311161
20090713,17.777287
20090714,17.898408
20090715,18.548543
20090716,18.769648
20090717,18.679025
20090720,18.925938
20090721,18.877187
20090722,18.966923
20090723,19.572071
20090724,19.649711
20090727,19.711185
20090728,19.746667
20090729,19.639655
20090730,19.985307
20090731,19.986836
20090803,20.304559
20090804,20.471021
20090805,20.300874
20090806,20.018336
20090807,20.554258
20090810,20.520599
20090811,20.196781
20090812,20.51409
20090813,20.582371
20090814,20.200913
20090817,19.668341
20090818,19.911397
20090819,20.059648
20090820,20.295422
20090821,20.759453
20090824,20.723335
20090825,20.80392
20090826,20.792422
20090827,20.809236
20090828,20.696533
20090831,20.404195
20090901,19.968834
20090902,19.855778
20090903,20.072584
20090904,20.319463
20090907,20.318829
20090908,20.522111
20090909,20.805144
20090910,21.075804
20090911,21.038128
20090914,21.227666
20090915,21.388733
20090916,21.802561
20090917,21.753891
20090918,21.803039
20090921,21.717316
20090922,21.848705
20090923,21.611604
20090924,21.260348
20090925,21.180118
20090928,21.685893
20090929,21.602612
20090930,21.384985
20091001,20.731815
20091002,20.573458
20091005,20.920659
20091006,21.294779
20091007,21.291475
20091008,21.536087
20091009,21.792092
20091012,21.81115
20091013,21.731562
20091014,22.166545
20091015,22.191685
20091016,21.938042
20091019,22.155109
20091020,21.870418
20091021,21.580045
20091022,21.852755
20091023,21.432151
20091026,21.199629
20091027,20.980278
20091028,20.339825
20091029,20.77307
20091030,20.191669
20091102,20.170098
20091103,20.432878
20091104,20.18322
20091105,20.801942
20091106,20.756862
20091109,21.212336
20091110,21.085694
20091111,21.283799
20091112,20.833862
20091113,21.009239
20091116,21.594947
20091117,21.54114
20091118,21.465191
20091119,20.941927
20091120,20.922127
20091123,21.321304
20091124,21.217558
20091125,21.173081
20091126,21.172849
20091127,20.674834
20091130,20.760497
20091201,21.064619
20091202,21.301455
20091203,21.023614
20091204,21.500621
20091207,21.514476
20091208,21.358725
20091209,21.360914
20091210,21.278735
20091211,21.481039
20091214,21.837925
20091215,21.760925
20091216,21.931069
20091217,21.734123
20091218,21.971493
20091221,22.27627
20091222,22.45217
20091223,22.708609
20091224,22.821253
20091229,22.816446
20091230,22.769187
20091231,22.446682
20100104,22.911169
20100105,22.84191
20100106,22.831462
20100107,22.98598
20100108,23.055742
20100111,23.019104
20100112,22.762802
20100113,23.015793
20100114,23.123879
20100115,22.843072
20100118,22.842321
20100119,23.209207
20100120,22.880781
20100121,22.600365
20100122,22.225079
20100125,22.265623
20100126,22.085272
20100127,22.32734
20100128,21.914814
20100129,21.712351
20100201,21.925381
20100202,22.07604
20100203,21.913076
20100204,21.22342
20100205,21.295296
20100208,21.069077
20100209,21.352655
20100210,21.407398
20100211,21.706505
20100212,21.8869
20100215,21.887177
20100216,22.215051
20100217,22.34317
20100218,22.544938
20100219,22.645485
20100222,22.686187
20100223,22.45528
20100224,22.685501
20100225,22.65484
20100226,22.594982
20100301,23.063874
20100302,23.252038
20100303,23.282429
20100304,23.371783
20100305,23.806319
20100308,23.878995
20100309,23.973327
20100310,24.129849
20100311,24.210672
20100312,24.209581
20100315,24.153799
20100316,24.346026
20100317,24.541319
20100318,24.468529
20100319,24.256763
20100322,24.573935
20100323,24.819155
20100324,24.527405
20100325,24.385313
20100326,24.348531
20100329,24.451037
20100330,24.526068
20100331,24.306603
20100401,24.511004
20100406,25.086908
20100407,25.023774
20100408,24.978981
20100409,25.111287
20100412,25.187613
20100413,25.25111
20100414,25.768858
20100415,25.810055
20100416,25.536653
20100419,25.498326
20100420,25.804177
20100421,26.016279
20100422,26.330827
20100423,26.579409
20100426,26.448144
20100427,25.865051
20100428,25.89256
20100429,26.50892
20100430,25.653856
20100503,25.653856
20100504,25.456666
20100505,25.131266
20100506,24.336665
20100507,23.656001
20100510,24.871043
20100511,25.039582
20100512,25.713351
20100513,25.519076
20100514,25.015742
20100517,25.168029
20100518,24.66306
20100519,24.438743
20100520,23.248555
20100521,23.541293
20100524,23.236129
20100525,23.134079
20100526,23.188703
20100527,24.105495
20100528,23.783276
20100531,23.782433
20100601,23.097274
20100602,23.73225
20100603,24.002803
20100604,22.857567
20100607,22.339371
20100608,22.304258
20100609,22.318337
20100610,23.029067
20100611,23.335273
20100614,23.435192
20100615,23.975694
20100616,23.865893
20100617,23.858961
20100618,23.878568
20100621,23.660407
20100622,23.194123
20100623,23.123815
20100624,22.759926
20100625,23.146142
20100628,23.110802
20100629,22.286392
20100630,22.073308
20100701,21.91595
20100702,21.75193
20100705,21.751214
20100706,21.446805
20100707,22.185412
20100708,22.492886
20100709,22.799902
20100712,22.546854
20100713,23.276048
20100714,23.17044
20100715,22.973203
20100716,22.150572
20100719,22.26786
20100720,22.658579
20100721,22.251237
20100722,23.013455
20100723,23.487925
20100726,23.972288
20100727,23.885279
20100728,23.485816
20100729,23.448336
20100730,23.402873
20100802,23.801577
20100803,23.534421
20100804,23.803439
20100805,23.522205
20100806,23.352548
20100809,23.635728
20100810,23.218787
20100811,22.347122
20100812,22.260648
20100813,21.968155
20100816,22.120447
20100817,22.522087
20100818,22.615572
20100819,22.041827
20100820,22.025716
20100823,21.749487
20100824,21.526879
20100825,21.814391
20100826,21.650188
20100827,22.220173
20100830,22.220173
20100831,21.663349
20100901,22.473746
20100902,22.722392
20100903,23.110807
20100906,23.110048
20100907,22.635529
20100908,22.782492
20100909,22.778328
20100910,22.819321
20100913,23.36195
20100914,23.270867
20100915,23.425991
20100916,23.250853
20100917,23.363369
20100920,23.972004
20100921,23.791817
20100922,23.526677
20100923,23.241782
20100924,24.018729
20100927,23.909158
20100928,24.142786
20100929,24.214154
20100930,24.123321
20101001,24.228547
20101004,23.883364
20101005,24.594604
20101006,24.429344
20101007,24.412104
20101008,24.717072
20101011,24.7057
20101012,24.816874
20101013,25.208069
20101014,25.180449
20101015,25.122148
20101018,25.342887
20101019,24.838971
20101020,25.066773
20101021,24.974919
20101022,25.120017
20101025,25.231231
20101026,25.170601
20101027,25.081328
20101028,24.986837
20101029,25.077679
20101101,24.902108
20101102,25.407826
20101103,25.476022
20101104,26.147903
20101105,26.260946
20101108,26.25112
20101109,25.947792
20101110,26.25549
20101111,26.130821
20101112,25.733189
20101115,25.746169
20101116,25.271919
20101117,25.305585
20101118,25.737775
20101119,25.826141
20101122,25.938007
20101123,25.750246
20101124,26.348089
20101125,26.3478
20101126,26.196497
20101129,26.155649
20101130,25.974935
20101201,26.560103
20101202,26.825018
20101203,27.005252
20101206,27.146595
20101207,27.303877
20101208,27.26786
20101209,27.36169
20101210,27.682873
20101213,27.550847
20101214,27.561751
20101215,27.47435
20101216,27.783384
20101217,27.951218
20101220,27.981567
20101221,28.262375
20101222,28.277679
20101223,28.242956
20101224,28.242646
20101227,28.242646
20101228,28.242646
20101229,28.172673
20101230,28.144765
20101231,27.838016
20110103,27.838016
20110104,27.871822
20110105,28.116297
20110106,27.978102
20110107,27.836989
20110110,27.903727
20110111,27.970308
20110112,28.238624
20110113,28.240342
20110114,28.517381
20110117,28.516443
20110118,28.484889
20110119,27.870897
20110120,27.648419
20110121,27.4962
20110124,27.695072
20110125,27.793797
20110126,28.267404
20110127,28.389601
20110128,27.679938
20110131,27.865463
20110201,28.43486
20110202,28.308087
20110203,28.357559
20110204,28.405414
20110207,28.688317
20110208,28.851878
20110209,28.731812
20110210,28.855714
20110211,29.159753
20110214,29.303927
20110215,28.99579
20110216,29.337124
20110217,29.502719
20110218,29.583222
20110221,29.582232
20110222,28.859751
20110223,28.294565
20110224,28.439356
20110225,29.059095
20110228,29.103497
20110301,28.558337
20110302,28.671808
20110303,29.36532
20110304,29.261169
20110307,28.821742
20110308,29.286351
20110309,29.270546
20110310,28.561199
20110311,28.623711
20110314,28.480289
20110315,28.220092
20110316,27.864279
20110317,27.984592
20110318,28.296207
20110321,28.912681
20110322,28.764707
20110323,28.806796
20110324,28.999077
20110325,29.24794
20110328,29.155501
20110329,29.40923
20110330,29.794436
20110331,29.949032
20110401,30.042023
20110404,30.165193
20110405,30.282317
20110406,30.336166
20110407,30.1638
20110408,29.795349
20110411,29.632019
20110412,29.236081
20110413,29.213839
20110414,29.375019
20110415,29.640758
20110418,29.19344
20110419,29.231564
20110420,29.788933
20110421,30.009311
20110425,30.009311
20110426,30.293734
20110427,30.579153
20110428,30.655348
20110429,30.699851
20110502,30.655348
20110503,30.099078
20110504,29.78914
20110505,29.679637
20110506,29.805778
20110509,30.086747
20110510,30.611969
20110511,30.139625
20110512,30.407627
20110513,30.01814
20110516,29.617945
20110517,29.522783
20110518,29.938598
20110519,30.002076
20110520,29.776355
20110523,29.277378
20110524,29.137144
20110525,29.48624
20110526,29.819881
20110527,30.00059
20110530,30.00059
20110531,30.453721
20110601,29.551197
20110602,29.480463
20110603,29.015377
20110606,28.620393
20110607,28.702789
20110608,28.392929
20110609,28.536824
20110610,28.090587
20110613,28.027883
20110614,28.630481
20110615,28.191401
20110616,28.288638
20110617,28.306748
20110620,28.567617
20110621,29.106293
20110622,28.809131
20110623,28.844664
20110624,28.634051
20110627,28.906831
20110628,29.33984
20110629,29.457145
20110630,29.792922
20110701,30.274915
20110704,30.273785
20110705,30.37764
20110706,30.456327
20110707,30.878722
20110708,30.669033
20110711,30.052148
20110712,29.944509
20110713,30.181886
20110714,29.689228
20110715,29.856856
20110718,29.45081
20110719,30.137369
20110720,30.020742
20110721,30.361153
20110722,30.304228
20110725,29.982849
20110726,29.727632
20110727,28.877762
20110728,28.827855
20110729,28.809055
20110801,28.623624
20110802,27.774658
20110803,27.971832
20110804,26.514143
20110805,26.121871
20110808,23.900501
20110809,25.398845
20110810,24.1466
20110811,25.427462
20110812,25.516802
20110815,26.237834
20110816,25.784897
20110817,25.713769
20110818,24.26693
20110819,23.88848
20110822,23.912545
20110823,25.091071
20110824,25.425888
20110825,24.781082
20110826,25.359161
20110829,25.359161
20110830,26.635538
20110831,26.616102
20110901,26.040098
20110902,25.10572
20110905,25.104864
20110906,25.043718
20110907,26.068536
20110908,25.559117
20110909,24.780164
20110912,24.959231
20110913,25.374827
20110914,25.816163
20110915,26.163546
20110916,26.150618
20110919,25.743799
20110920,25.301932
20110921,24.369676
20110922,23.69608
20110923,24.026214
20110926,24.529339
20110927,25.082227
20110928,24.114843
20110929,24.545262
20110930,23.867079
20111003,22.669704
20111004,24.182869
20111005,24.476483
20111006,25.076528
20111007,24.443805
20111010,25.475402
20111011,25.567223
20111012,25.98115
20111013,25.905769
20111014,26.366584
20111017,25.517609
20111018,26.201838
20111019,25.701929
20111020,25.817306
20111021,26.409292
20111024,27.27631
20111025,26.45621
20111026,26.935503
20111027,28.31877
20111028,28.14176
20111031,27.455242
20111101,26.502683
20111102,27.18174
20111103,27.810472
20111104,27.637398
20111107,27.607644
20111108,27.98416
20111109,26.723474
20111110,26.969551
20111111,27.710497
20111114,27.285606
20111115,27.658823
20111116,27.153465
20111117,26.812342
20111118,26.897207
20111121,26.253319
20111122,26.065673
20111123,25.297081
20111124,25.296805
20111125,24.982673
20111128,26.151208
20111129,26.098806
20111130,27.622986
20111201,27.393101
20111202,27.502671
20111205,27.892739
20111206,27.86085
20111207,27.883607
20111208,27.018799
20111209,27.888393
20111212,27.470969
20111213,26.982306
20111214,26.587442
20111215,26.946875
20111216,27.168974
20111219,26.720391
20111220,27.826526
20111221,27.962926
20111222,28.148351
20111223,28.239704
20111226,28.239704
20111227,28.239704
20111228,27.715657
20111229,28.098415
20111230,27.835867
20120102,27.835867
20120103,28.273667
20120104,28.067131
20120105,28.26746
20120106,28.179707
20120109,28.276453
20120110,28.67569
20120111,28.753574
20120112,28.91036
20120113,28.656515
20120116,28.6555
20120117,28.737827
20120118,29.211595
20120119,29.339208
20120120,29.428982
20120123,29.359718
20120124,29.56574
20120125,29.773752
20120126,29.666608
20120127,29.842278
20120130,29.587685
20120131,29.659647
20120201,30.293502
20120202,30.439774
20120203,31.091293
20120206,30.953424
20120207,30.913154
20120208,30.974894
20120209,30.823668
20120210,30.387077
20120213,30.791991
20120214,30.648576
20120215,30.392694
20120216,30.986215
20120217,30.976842
20120220,30.975815
20120221,30.786773
20120222,30.555465
20120223,30.97177
20120224,30.841618
20120227,30.805365
20120228,30.710679
20120229,30.264904
20120301,30.444922
20120302,29.940176
20120305,30.005004
20120306,29.421687
20120307,29.712431
20120308,30.060931
20120309,30.445474
20120312,30.420582
20120313,31.073045
20120314,30.805084
20120315,31.105924
20120316,31.003075
20120319,31.284548
20120320,30.98469
20120321,30.99921
20120322,30.711899
20120323,31.01389
20120326,31.646303
20120327,31.427679
20120328,31.285511
20120329,31.209166
20120330,31.127617
20120402,31.527286
20120403,31.325634
20120404,30.81986
20120405,30.744646
20120406,30.744646
20120409,30.744646
20120410,29.497768
20120411,29.948817
20120412,30.382275
20120413,29.960679
20120416,30.063514
20120417,30.541046
20120418,30.260989
20120419,30.073618
20120420,30.244512
20120423,29.767997
20120424,29.979945
20120425,30.48083
20120426,30.726793
20120427,31.032996
20120430,30.715599
20120501,30.728828
20120502,30.890991
20120503,30.467075
20120504,29.919178
20120507,29.919178
20120508,29.968595
20120509,29.830649
20120510,29.962106
20120511,29.883174
20120514,29.494455
20120515,29.515672
20120516,29.294211
20120517,28.660058
20120518,28.432881
20120521,28.945649
20120522,28.764797
20120523,28.923134
20120524,28.937392
20120525,28.963989
20120528,28.96304
20120529,29.358006
20120530,28.801117
20120531,28.783155
20120601,27.899572
20120604,27.899572
20120605,27.899572
20120606,28.864965
20120607,28.672572
20120608,28.984576
20120611,28.277438
20120612,28.645245
20120613,28.261694
20120614,28.610228
20120615,28.949445
20120618,28.981953
20120619,29.507282
20120620,29.254168
20120621,28.506528
20120622,28.872606
20120625,28.422976
20120626,28.538765
20120627,28.927259
20120628,28.961483
20120629,29.830806
20120702,30.08311
20120703,30.454986
20120704,30.454619
20120705,30.426803
20120706,30.05562
20120709,30.008579
20120710,29.680457
20120711,29.580823
20120712,29.55128
20120713,29.970703
20120716,29.823365
20120717,29.895358
20120718,30.136705
20120719,30.08251
20120720,29.71695
20120723,29.273414
20120724,28.874913
20120725,28.945041
20120726,29.22578
20120727,29.89747
20120730,29.711117
20120731,29.589452
20120801,29.039988
20120802,29.011001
20120803,29.756179
20120806,29.960282
20120807,30.204418
20120808,30.234053
20120809,30.292935
20120810,30.260346
20120813,30.160405
20120814,30.052365
20120815,30.338938
20120816,30.661184
20120817,30.905389
20120820,30.791204
20120821,30.766375
20120822,30.665631
20120823,30.450924
20120824,30.556102
20120827,30.556102
20120828,30.745799
20120829,30.893522
20120830,30.589862
20120831,30.695556
20120903,30.694552
20120904,31.055153
20120905,30.998413
20120906,31.622752
20120907,31.78104
20120910,31.703884
20120911,31.80334
20120912,31.876382
20120913,32.271979
20120914,32.577281
20120917,32.335786
20120918,32.299721
20120919,32.134333
20120920,31.968206
20120921,32.072278
20120924,31.926319
20120925,31.463905
20120926,31.26012
20120927,31.628975
20120928,31.402965
20121001,31.531646
20121002,31.522834
20121003,31.422359
20121004,31.609659
20121005,31.552508
20121008,31.398527
20121009,30.991455
20121010,30.945133
20121011,31.013768
20121012,30.749446
20121015,30.944125
20121016,31.194468
20121017,31.462495
20121018,31.308583
20121019,30.787485
20121022,30.757473
20121023,30.625297
20121024,30.52766
20121025,30.627406
20121026,30.496673
20121029,30.498309
20121030,30.498254
20121031,30.748485
20121101,31.121666
20121102,30.695833
20121105,30.895894
20121106,31.216478
20121107,30.468619
20121108,30.043967
20121109,30.053262
20121112,30.007363
20121113,29.850179
20121114,29.320187
20121115,29.149112
20121116,29.371207
20121119,29.988342
20121120,30.05681
20121121,30.176307
20121122,30.175971
20121123,30.500638
20121126,30.613206
20121127,30.600994
20121128,30.791279
20121129,31.126221
20121130,31.036892
20121203,31.014175
20121204,31.08325
20121205,30.994553
20121206,31.027642
20121207,31.036998
20121210,31.150071
20121211,31.437049
20121212,31.241086
20121213,31.061402
20121214,30.998332
20121217,31.431759
20121218,31.929737
20121219,31.914946
20121220,32.095863
20121221,31.965266
20121224,31.859879
20121226,31.859879
20121227,31.437089
20121228,31.240994
20121231,31.852625
20130101,31.852625
20130102,32.702086
20130103,32.694677
20130104,32.925331
20130107,32.769179
20130108,32.681908
20130109,32.849865
20130110,32.904823
20130111,32.894248
20130114,32.855817
20130115,33.02098
20130116,32.94246
20130117,33.296053
20130118,33.427094
20130121,33.425995
20130122,33.681509
20130123,33.570071
20130124,33.816397
20130125,33.988153
20130128,33.945535
20130129,33.975867
20130130,33.569793
20130131,33.682363
20130201,34.055707
20130204,33.629282
20130205,33.944634
20130206,34.092864
20130207,34.040492
20130208,34.244071
20130211,34.206613
20130212,34.359277
20130213,34.476773
20130214,34.58628
20130215,34.532772
20130218,34.531698
20130219,34.899931
20130220,34.229808
20130221,33.944183
20130222,34.272661
20130225,33.524617
20130226,33.682624
20130227,34.062128
20130228,34.142154
20130301,34.274691
20130304,34.230221
20130305,34.601295
20130306,34.72027
20130307,34.886247
20130308,35.169462
20130311,35.154292
20130312,35.024232
20130313,35.20496
20130314,35.579735
20130315,35.583254
20130318,35.372757
20130319,35.278406
20130320,35.579052
20130321,35.283276
20130322,35.376394
20130325,35.357002
20130326,35.542678
20130327,35.524602
20130328,35.57166
20130329,35.571334
20130401,35.571334
20130402,34.960493
20130403,34.438847
20130404,34.723303
20130405,34.63994
20130408,34.955175
20130409,34.790454
20130410,35.400309
20130411,35.417321
20130412,35.258377
20130415,34.025239
20130416,34.589925
20130417,34.014411
20130418,33.791452
20130419,34.202831
20130422,34.245304
20130423,34.786682
20130424,35.00991
20130425,35.24374
20130426,35.023077
20130429,35.283435
20130430,35.464778
20130501,34.669076
20130502,35.244008
20130503,35.84649
20130506,35.84649
20130507,36.371223
20130508,36.523476
20130509,36.398485
20130510,36.740716
20130513,36.641595
20130514,37.117721
20130515,37.24457
20130516,37.088931
20130517,37.555667
20130520,37.634332
20130521,37.686117
20130522,37.091955
20130523,37.064511
20130524,37.065957
20130527,37.065957
20130528,37.557697
20130529,37.12461
20130530,37.358324
20130531,36.996035
20130603,37.297397
20130604,36.970731
20130605,36.493873
20130606,36.856352
20130607,37.14375
20130610,37.355889
20130611,36.953163
20130612,36.655679
20130613,37.289847
20130614,36.944504
20130617,37.204741
20130618,37.665179
20130619,37.195366
20130620,36.280652
20130621,36.423044
20130624,35.953465
20130625,36.333846
20130626,36.227906
20130627,36.873435
20130628,36.749815
20130701,37.28209
20130702,37.328016
20130703,37.38374
20130704,37.383277
20130705,37.938117
20130708,38.06874
20130709,38.470135
20130710,38.520788
20130711,38.904988
20130712,38.986331
20130715,39.153308
20130716,38.999761
20130717,39.106482
20130718,39.413613
20130719,39.404841
20130722,39.51172
20130723,39.46589
20130724,39.174811
20130725,39.512877
20130726,39.29967
20130729,39.049326
20130730,39.158543
20130731,39.245619
20130801,39.787804
20130802,39.778099
20130805,39.971235
20130806,39.588808
20130807,39.326573
20130808,39.544607
20130809,39.53155
20130812,39.737738
20130813,39.73481
20130814,39.583386
20130815,38.888914
20130816,38.757836
20130819,38.414626
20130820,38.981293
20130821,38.721857
20130822,39.248945
20130823,39.311672
20130826,39.311672
20130827,38.400385
20130828,38.503356
20130829,38.851504
20130830,38.268783
20130902,38.267565
20130903,38.422919
20130904,38.722694
20130905,38.82841
20130906,38.842759
20130909,39.435321
20130910,39.803271
20130911,39.831919
20130912,39.56083
20130913,39.788567
20130916,39.883682
20130917,40.185081
20130918,40.585473
20130919,40.50084
20130924,40.56417
20130925,40.492793
20130926,40.724618
20130927,40.555551
20130930,40.632141
20131001,41.139605
20131002,40.870415
20131003,40.416191
20131004,40.669055
20131007,40.220494
20131008,39.666043
20131009,39.622702
20131010,40.569175
20131011,41.150701
20131014,41.381453
20131015,41.004644
20131016,41.417115
20131017,41.798589
20131018,42.307224
20131021,42.251732
20131022,42.380871
20131023,42.261208
20131024,42.541961
20131025,42.555435
20131028,42.588179
20131029,42.775201
20131030,42.282874
20131031,42.076264
20131101,41.902165
20131104,42.435572
20131105,42.314843
20131106,42.288891
20131107,41.581609
20131108,42.314848
20131111,42.336955
20131112,42.358275
20131113,42.711131
20131114,42.721517
20131115,42.867526
20131118,42.680068
20131119,42.487005
20131120,42.411283
20131121,43.170348
20131122,43.347947
20131125,43.306186
20131126,43.658873
20131127,43.913207
20131128,43.912613
20131129,43.948679
20131202,43.372742
20131203,43.189509
20131204,43.036424
20131205,43.130311
20131206,43.463799
20131209,43.402027
20131210,42.974306
20131211,42.373829
20131212,42.471244
20131213,42.615784
20131216,43.106889
20131217,43.039239
20131218,43.440096
20131219,43.088833
20131220,43.873672
20131223,44.243213
20131224,44.389259
20131226,44.389259
20131227,44.394407
20131230,44.362296
20131231,44.429994
20140101,44.429994
20140102,43.878203
20140103,44.063412
20140106,43.683283
20140107,44.065146
20140108,43.924212
20140109,43.907569
20140110,44.050398
20140113,43.454864
20140114,43.978082
20140115,44.305802
20140116,44.28052
20140117,44.055035
20140120,44.053711
20140121,44.303265
20140122,44.548794
20140123,44.241791
20140124,43.224782
20140127,42.672639
20140128,43.018425
20140129,42.441897
20140130,42.985595
20140131,42.698454
20140203,41.41227
20140204,41.68384
