Date,NAV
20120522,50
20120523,49.4399
20120524,49.6121
20120525,49.5067
20120528,49.6185
20120529,50.1344
20120530,49.3022
20120531,49.1642
20120601,48.1929
20120606,49.4011
20120607,49.7441
20120608,49.6139
20120611,49.5089
20120612,49.7776
20120613,49.7663
20120614,49.9376
20120615,50.4803
20120618,50.6636
20120619,51.2942
20120620,51.4384
20120621,50.502
20120622,50.3501
20120625,49.6173
20120626,49.7181
20120627,50.0779
20120628,49.9588
20120629,51.609064
20120702,51.7002
20120703,52.2185
20120704,52.1749
20120705,51.8862
20120706,51.3473
20120709,51.09
20120710,50.8944
20120711,50.8928
20120712,50.3376
20120713,51.0915
20120716,51.0938
20120717,51.2807
20120718,51.6314
20120719,52.0234
20120720,51.3892
20120723,50.4993
20120724,50.1519
20120725,50.0945
20120726,51.1273
20120727,52.1087
20120730,52.2981
20120731,52.1994
20120801,52.1393
20120802,51.5861
20120803,52.5587
20120806,52.9728
20120807,53.2761
20120808,53.3046
20120809,53.4404
20120810,53.4677
20120813,53.3451
20120814,53.4364
20120815,53.3987
20120816,53.8034
20120817,53.8626
20120820,53.8421
20120821,54.0359
20120822,53.787
20120823,53.7281
20120824,53.6854
20120828,53.57
20120829,53.5102
20120830,53.0361
20120831,53.3325
20120903,53.4353
20120904,53.1762
20120905,53.0838
20120906,54.0584
20120907,54.7139
20120910,54.5239
20120911,54.7477
20120912,54.9794
20120913,55.4629
20120914,56.3822
20120917,56.1756
20120918,55.9441
20120919,56.115
20120920,55.7871
20120921,55.9841
20120924,55.7502
20120925,55.5728
20120926,54.6192
20120927,55.0665
20120928,55.04581
20121001,55.0807
20121002,55.1182
20121003,55.0752
20121004,55.4627
20121005,55.7108
20121008,55.3231
20121009,54.8462
20121010,54.5167
20121011,54.6866
20121012,54.5934
20121015,54.8233
20121016,55.4875
20121017,55.9279
20121018,55.9396
20121019,55.2625
20121022,55.2257
20121023,54.3901
20121024,54.3427
20121025,54.5252
20121026,54.3726
20121029,54.249
20121030,54.4674
20121031,54.4457
20121101,54.899
20121102,54.6726
20121105,54.5586
20121106,54.8946
20121107,54.1171
20121108,53.5823
20121109,53.5372
20121112,53.4639
20121113,53.3247
20121114,52.8052
20121115,52.6395
20121116,52.5743
20121119,53.6369
20121120,53.6679
20121121,53.7891
20121122,54.0559
20121123,54.6514
20121126,54.5656
20121127,54.4634
20121128,54.584
20121129,55.0793
20121130,55.1289
20121203,55.1058
20121204,55.0934
20121205,55.2335
20121206,55.4
20121207,55.4747
20121210,55.5559
20121211,55.8955
20121212,56.0417
20121213,55.9035
20121214,55.8343
20121217,56.1631
20121218,56.6715
20121219,56.7651
20121220,56.8727
20121221,56.4175
20121224,56.083
20121227,56.0759
20121228,56.019571
20121231,56.1889
20130102,57.4298
20130103,57.3611
20130104,57.5206
20130107,57.3906
20130108,57.1873
20130109,57.3865
20130110,57.8173
20130111,57.9149
20130114,57.9183
20130115,57.95
20130116,57.8001
20130117,58.0807
20130118,58.1995
20130121,58.2308
20130122,58.3879
20130123,58.3541
20130124,58.4529
20130125,58.7615
20130128,58.6134
20130129,58.9497
20130130,58.9056
20130131,58.7617
20130201,59.204
20130204,58.5651
20130205,58.732
20130206,58.8176
20130207,58.5656
20130208,58.8822
20130211,58.699
20130212,59.0039
20130213,59.0833
20130214,59.0031
20130215,58.8448
20130218,58.8905
20130219,59.3102
20130220,58.9989
20130221,58.2405
20130222,58.6133
20130225,58.2427
20130226,57.9619
20130227,58.4788
20130228,58.7574
20130301,58.6189
20130304,58.6486
20130305,59.2725
20130306,59.4357
20130307,59.5301
20130308,59.7312
20130311,59.9391
20130312,59.8387
20130313,59.6664
20130314,60.0251
20130315,60.1327
20130318,59.5549
20130319,59.3743
20130320,59.4554
20130321,59.1647
20130322,59.52266
20130325,59.1585
20130326,59.43
20130327,59.3585
20130328,59.5704
20130402,59.5701
20130403,59.2068
20130404,59.0296
20130405,58.8656
20130408,59.1469
20130409,59.4448
20130410,60.2151
20130411,60.6479
20130412,60.3626
20130415,59.3419
20130416,59.6675
20130417,58.9712
20130418,58.6723
20130419,59.0837
20130422,59.2717
20130423,59.8723
20130424,60.2012
20130425,60.5877
20130426,60.5187
20130429,60.9559
20130430,61.3267
20130501,60.9755
20130502,61.0982
20130503,61.6026
20130506,61.6198
20130507,62.0545
20130508,62.5572
20130509,62.2942
20130510,62.2261
20130513,62.2407
20130514,62.6021
20130515,62.8182
20130516,62.7253
20130517,62.8992
20130520,63.1266
20130521,63.196
20130522,62.9411
20130523,62.0582
20130524,62.0522
20130527,61.9344
20130528,62.2412
20130529,61.9092
20130530,61.9572
20130531,61.1979
20130603,61.1577
20130604,61.2402
20130605,60.3301
20130606,60.426
20130607,60.9574
20130610,61.0287
20130611,60.5423
20130612,60.3596
20130613,60.5119
20130614,60.5735
20130617,61.0951
20130618,61.2756
20130619,60.4587
20130620,58.3417
20130621,58.682717
20130624,57.3436
20130625,57.7763
20130626,58.3595
20130627,58.8771
20130628,58.9501
20130701,59.3551
20130702,59.3083
20130703,59.027
20130704,59.3739
20130705,59.3762
20130708,59.6008
20130709,60.0568
20130710,60.2566
20130711,61.3015
20130712,61.3791
20130715,61.5192
20130716,61.5236
20130717,61.6686
20130718,61.944
20130719,61.982
20130722,62.2742
20130723,62.3503
20130724,62.2784
