Date,NAV
20161013,4.982759
20161014,4.980103
20161017,4.965251
20161018,5.007014
20161019,5.016454
20161020,5.009343
20161021,4.996133
20161024,5.015946
20161025,4.995742
20161026,4.996415
20161027,4.97857
20161028,4.971822
20161031,4.984185
20161101,4.951839
20161102,4.934074
20161103,4.908483
20161104,4.897473
20161107,5.010063
20161108,5.022233
20161109,5.124935
20161110,5.18359
20161111,5.184889
20161114,5.241841
20161115,5.283706
20161116,5.261051
20161117,5.273337
20161118,5.263711
20161121,5.291677
20161122,5.309421
20161123,5.329667
20161124,5.329638
20161125,5.354028
20161128,5.314503
20161129,5.318998
20161130,5.333148
20161201,5.346728
20161202,5.339712
20161205,5.36725
20161206,5.397715
20161207,5.488767
20161208,5.514987
20161209,5.546593
20161212,5.522702
20161213,5.554217
20161214,5.503789
20161215,5.532857
20161216,5.513224
20161219,5.521612
20161220,5.547119
20161221,5.533343
20161222,5.501726
20161223,5.516612
20161228,5.474991
20161229,5.469461
20161230,5.448276
20170103,5.505914
20170104,5.562703
20170105,5.532415
20170106,5.526348
20170109,5.506786
20170110,5.529359
20170111,5.535482
20170112,5.51087
20170113,5.515508
20170116,5.515419
20170117,5.490183
20170118,5.501337
20170119,5.476429
20170120,5.489095
20170123,5.465209
20170124,5.523452
20170125,5.588436
20170126,5.573791
20170127,5.551925
20170130,5.516674
20170131,5.519921
20170201,5.553576
20170202,5.548093
20170203,5.60289
20170206,5.595042
20170207,5.587908
20170208,5.576292
20170209,5.617701
20170210,5.630588
20170213,5.671949
20170214,5.716682
20170215,5.755367
20170216,5.751766
20170217,5.755525
20170220,5.755431
20170221,5.803269
20170222,5.785581
20170223,5.773183
20170224,5.779299
20170227,5.79933
20170228,5.771722
20170301,5.847251
20170302,5.809547
20170303,5.820478
20170306,5.782097
20170307,5.749988
20170308,5.735334
20170309,5.724142
20170310,5.743783
20170313,5.7353
20170314,5.711786
20170315,5.758906
20170316,5.746952
20170317,5.723202
20170320,5.708239
20170321,5.607791
20170322,5.629366
20170323,5.622837
20170324,5.618463
20170327,5.615931
20170328,5.676587
20170329,5.690341
20170330,5.716493
20170331,5.703389
20170403,5.677639
20170404,5.681624
20170405,5.649836
20170406,5.671917
20170407,5.667345
20170410,5.672762
20170411,5.664254
20170412,5.634071
20170413,5.590554
20170418,5.610052
20170419,5.606362
20170420,5.663452
20170421,5.63797
20170424,5.706544
20170425,5.733375
20170426,5.737625
20170427,5.739214
20170428,5.712108
20170502,5.718573
20170503,5.708567
20170504,5.701064
20170505,5.738277
20170508,5.744889
20170509,5.748184
20170510,5.755255
20170511,5.737599
20170512,5.714108
20170515,5.744587
20170516,5.729491
20170517,5.596532
20170518,5.604122
