Date,NAV
20170427,15.9399
20170428,15.8849
20170502,15.9079
20170503,15.8758
20170504,15.8908
20170505,15.9689
20170508,15.948
20170509,15.9379
20170510,15.97
20170511,15.931
20170512,15.8965
20170515,15.9842
20170516,15.9708
20170517,15.7102
20170518,15.7672
20170519,15.8745
20170522,15.9766
20170523,15.9905
20170524,16.0386
20170525,16.1265
20170526,16.1257
20170529,16.1253
20170530,16.1121
20170531,16.1324
20170601,16.2804
20170602,16.3362
20170606,16.2282
20170607,16.2619
20170608,16.2947
20170609,16.3012
20170612,16.2948
20170613,16.3709
20170614,16.3569
20170615,16.3295
20170616,16.3038
20170619,16.4428
20170620,16.3173
20170621,16.2928
20170622,16.273
20170623,16.2967
20170626,16.3222
20170627,16.2043
20170628,16.3623
20170629,16.2164
20170630,16.2509
20170703,16.3046
20170704,16.3045
20170705,16.3177
20170706,16.164
20170707,16.2817
20170710,16.2626
20170711,16.2518
20170712,16.3622
20170713,16.3887
20170714,16.4592
20170717,16.469
20170718,16.4542
20170719,16.5331
20170720,16.5236
20170721,16.5225
20170724,16.5099
20170725,16.5728
20170726,16.5544
20170727,16.522
20170728,16.5035
20170731,16.5155
20170801,16.5617
20170802,16.5502
20170803,16.5331
20170804,16.5642
20170808,16.5713
20170809,16.5562
20170810,16.3248
20170811,16.339
20170814,16.5179
20170815,16.4905
20170816,16.5249
20170817,16.2713
20170818,16.2391
20170821,16.2584
20170822,16.4237
20170823,16.3703
20170824,16.3365
20170825,16.3782
20170828,16.3801
20170829,16.3881
20170830,16.4667
20170831,16.5582
20170901,16.5998
20170905,16.4504
20170906,16.4957
20170907,16.4584
20170908,16.4721
20170911,16.6518
20170912,16.7202
20170913,16.7216
20170914,16.7109
20170915,16.7705
20170918,16.8247
20170919,16.8303
20170920,16.8478
20170921,16.8024
20170922,16.8325
20170925,16.8104
20170926,16.8254
20170927,16.9259
20170928,16.943
20170929,16.9933
20171002,17.0864
20171003,17.126
20171004,17.1335
20171005,17.2112
20171006,17.183
20171009,17.1453
20171010,17.1909
20171011,17.2069
20171012,17.1895
20171013,17.2067
20171016,17.2369
20171017,17.2349
20171018,17.2808
20171019,17.3106
20171020,17.419
20171023,17.3671
20171024,17.3988
20171025,17.3197
20171026,17.3541
20171027,17.4367
20171030,17.3484
20171031,17.3838
20171102,17.4177
20171103,17.4542
20171106,17.4554
20171107,17.433
20171108,17.4564
20171109,17.385
20171110,17.403
20171113,17.4263
20171114,17.4096
20171115,17.3189
20171116,17.4853
20171117,17.4626
20171120,17.5142
20171121,17.622
20171122,17.5955
20171124,17.6121
20171127,17.5988
20171128,17.8071
20171129,17.8558
20171130,17.998
20171201,17.9483
20171204,17.9516
20171205,17.8565
20171206,17.8392
20171207,17.8997
20171208,17.9932
20171211,18.0221
20171212,18.0296
20171213,18.0283
20171214,17.9317
20171215,18.1203
20171218,18.2338
20171219,18.1769
20171220,18.1772
20171221,18.1838
20171222,18.1811
20171227,18.1926
20171228,18.2342
20171229,18.1398
20180102,18.2407
20180103,18.3288
20180104,18.3975
20180105,18.5195
20180108,18.5567
20180109,18.5864
20180110,18.5568
20180111,18.7029
20180112,18.8256
20180115,18.8252
20180116,18.7507
20180117,18.9686
20180118,18.9235
20180119,19.0405
20180122,19.1582
20180123,19.1877
20180124,19.1626
20180125,19.1862
20180126,19.403
20180129,19.2777
20180130,19.054
20180131,19.0448
20180201,19.0377
20180202,18.6457
20180205,17.9175
20180206,18.1918
20180207,18.1623
20180208,17.5126
20180209,17.776
20180212,17.9967
20180213,18.058
20180214,18.3116
20180215,18.527
20180216,18.5586
20180220,18.4265
20180221,18.3346
20180222,18.3489
20180223,18.608
20180226,18.8057
20180227,18.5832
20180228,18.3882
20180301,18.1606
20180302,18.2754
20180305,18.4687
20180306,18.544
20180307,18.5463
20180308,18.6074
20180309,18.9101
20180312,18.8774
20180313,18.7854
20180314,18.6675
20180315,18.653
20180316,18.7126
20180319,18.5073
20180320,18.5446
20180321,18.5108
20180322,18.0584
20180323,17.6925
20180326,18.1565
20180327,17.8688
20180328,17.8623
20180329,18.083
20180403,17.9229
20180404,18.1312
20180405,18.231
20180406,17.8483
20180409,17.8904
20180410,18.1706
20180411,18.0834
20180412,18.232
20180413,18.1588
20180416,18.3186
20180417,18.4895
20180418,18.4873
20180419,18.3527
20180420,18.2105
20180423,18.2087
20180424,18.0142
20180425,18.0402
20180426,18.1742
20180427,18.1795
20180430,18.0415
20180501,18.068
20180502,17.9484
20180503,17.9147
20180504,18.1429
20180508,18.2281
20180509,18.3705
20180510,18.5242
20180511,18.5663
20180514,18.5669
20180515,18.4653
20180516,18.5539
20180517,18.5599
20180518,18.5272
20180521,18.6698
20180522,18.5904
20180523,18.6344
20180524,18.6235
20180525,18.6035
20180529,18.4163
20180530,18.6495
20180531,18.4782
20180601,18.664
20180605,18.7989
20180606,18.9471
20180607,18.9212
20180608,18.9962
20180611,19.0043
20180612,19.0391
20180613,18.9802
20180614,19.0282
20180615,19.0425
20180618,19.0059
20180619,18.9411
20180620,18.9828
20180621,18.8613
20180622,18.8746
20180625,18.6311
20180626,18.6604
20180627,18.4698
20180628,18.5596
20180629,18.5766
20180702,18.6281
20180703,18.5734
20180705,18.7345
20180706,18.8815
20180709,19.0375
20180710,19.0907
20180711,18.9721
20180712,19.1171
20180713,19.135
20180716,19.1022
20180717,19.1701
20180718,19.2253
20180719,19.1982
20180720,19.1675
20180723,19.1823
20180724,19.1795
20180725,19.3409
20180726,19.3544
20180727,19.1978
20180730,19.07
20180731,19.1986
20180801,19.1542
20180802,19.2655
20180803,19.3388
20180807,19.4693
20180808,19.4572
20180809,19.445
20180810,19.3438
20180813,19.2661
20180814,19.4085
20180815,19.2738
20180816,19.4478
20180817,19.5206
20180820,19.5854
20180821,19.644
20180822,19.6364
20180823,19.6175
20180824,19.7288
20180827,19.8409
20180828,19.8489
20180829,19.9375
20180830,19.854
20180831,19.8922
20180904,19.8771
20180905,19.8264
20180906,19.8021
20180907,19.7512
20180910,19.7925
20180911,19.8295
20180912,19.8405
20180913,19.9257
20180914,19.9598
20180917,19.8493
20180918,19.9543
20180919,19.9312
20180920,20.0822
20180921,20.0905
20180924,19.9882
20180925,19.965
20180926,19.8928
20180927,19.9157
20180928,19.9543
20181001,19.9623
20181002,19.9359
20181003,19.9647
20181004,19.7887
20181005,19.6783
20181008,19.6772
20181009,19.6389
20181010,19.0289
20181011,18.6176
20181012,18.8399
20181015,18.7734
20181016,19.1867
20181017,19.1585
20181018,18.905
20181019,18.8525
20181022,18.7897
20181023,18.6734
20181024,18.14
20181025,18.4425
20181026,18.174
20181030,18.4079
20181031,18.5669
20181101,18.7846
20181102,18.6993
20181105,18.8114
20181106,18.9239
20181107,19.2864
20181108,19.2556
20181109,19.0937
20181112,18.752
20181113,18.7311
20181114,18.5863
20181115,18.7697
20181116,18.7931
20181119,18.4792
20181120,18.1589
20181121,18.2197
20181123,18.1424
20181126,18.3941
20181127,18.4204
20181128,18.8376
20181129,18.7916
20181130,18.9512
20181203,19.1224
20181204,18.5267
20181206,18.5144
20181207,18.1029
20181210,18.1229
20181211,18.1049
20181212,18.1998
20181213,18.1748
20181214,17.8538
20181217,17.4687
20181218,17.4595
20181219,17.2079
20181220,16.9264
20181221,16.608
20181224,16.1765
20181227,17.086
20181228,17.0762
20181231,17.2356
20190102,17.2106
20190103,16.8362
20190104,17.3769
20190107,17.5099
20190108,17.7036
20190109,17.7886
20190110,17.8722
20190111,17.8785
20190114,17.7841
20190115,17.9459
20190116,17.9807
20190117,18.1146
20190118,18.3474
20190122,18.1114
20190123,18.1725
20190124,18.1955
20190125,18.3383
20190128,18.2326
20190129,18.2345
20190130,18.4674
20190131,18.6299
20190201,18.6695
20190204,18.8009
20190205,18.879
20190206,18.8623
20190207,18.735
20190208,18.7587
20190211,18.7873
20190212,19.0153
20190213,19.0766
20190214,19.0445
20190215,19.2683
20190219,19.2999
20190220,19.3291
20190221,19.2762
20190222,19.4217
20190225,19.4258
20190226,19.3944
20190227,19.406
20190228,19.3656
20190301,19.4729
20190304,19.3695
20190305,19.3422
20190306,19.1936
20190307,19.0454
20190308,19.0056
20190311,19.2675
20190312,19.3137
20190313,19.4351
20190314,19.4181
20190315,19.4998
20190319,19.5373
20190320,19.4358
20190321,19.6586
20190322,19.2807
20190325,19.2862
20190326,19.4324
20190327,19.3629
20190328,19.4609
20190329,19.5764
20190401,19.7844
20190402,19.7525
20190403,19.8024
20190404,19.8508
20190405,19.9451
20190408,19.9615
20190409,19.8321
20190410,19.9315
20190411,19.9344
