Date,NAV
20181206,33.813416
20181207,33.921503
20181210,33.268191
20181211,33.224853
20181212,33.610459
20181213,33.95894
20181214,33.468406
20181217,33.43898
20181218,33.235684
20181219,33.356343
20181220,33.096061
20181221,33.021225
20181224,32.877846
20181227,32.862441
20181228,33.104201
20181231,33.308042
20190102,32.912815
20190103,32.696812
20190104,33.213657
20190107,33.650451
20190108,33.575
20190109,34.195324
20190110,34.348255
20190111,34.457794
20190114,34.108723
20190115,34.62612
20190116,34.809744
20190117,34.751646
20190118,35.04839
20190121,35.057474
20190122,34.843038
20190123,35.052762
20190124,35.325717
20190125,35.805868
20190128,35.729473
20190129,35.871253
20190130,36.220083
20190131,36.5378
20190201,36.457905
20190204,36.415726
20190205,36.456584
20190206,36.379266
20190207,36.173698
20190208,35.962973
20190211,35.95278
20190212,36.152774
20190213,36.230146
20190214,36.157073
20190215,35.767891
20190218,36.006744
20190219,35.920363
20190220,36.364076
20190221,36.474513
20190222,36.777324
20190225,37.014414
20190226,36.933081
20190227,36.737078
20190228,36.339796
20190301,36.449062
20190304,36.571318
20190305,36.565935
20190306,36.478569
20190307,36.076576
20190308,35.361801
20190311,35.650904
20190312,36.142454
20190313,36.075561
20190314,35.958288
20190315,36.244031
20190318,36.661324
20190319,36.704052
20190320,36.660231
20190321,36.714644
20190322,36.370272
20190325,35.957361
20190326,35.993776
20190327,35.822401
20190328,35.844768
20190329,36.049553
20190331,36.049553
20190401,36.563973
20190402,36.62595
20190403,36.935369
20190404,37.003368
20190405,37.077021
20190408,37.213517
20190409,37.368567
20190410,37.45877
20190411,37.121879
20190412,37.125354
20190415,37.184539
20190416,37.448101
20190417,37.546764
20190418,37.272417
20190423,37.030698
20190424,36.796929
20190425,36.546474
20190426,36.471085
20190429,36.721285
20190430,36.529089
20190501,36.528299
20190502,36.45549
20190503,36.539589
20190507,35.877669
20190508,35.551704
20190509,34.8088
20190510,34.837211
20190513,34.377384
20190514,34.381164
20190515,34.428409
20190516,34.30445
20190517,33.939815
20190520,33.930745
20190521,34.146349
20190522,34.101173
20190523,33.718488
20190524,33.860289
20190528,33.8586
20190529,33.664274
20190530,34.037817
20190531,34.083866
20190603,34.496133
20190604,34.444976
20190605,34.480265
20190606,34.491018
20190607,34.560541
20190610,34.968406
20190611,35.410047
20190612,35.231177
20190613,35.187961
20190614,34.907349
20190617,34.795642
20190618,35.202094
20190619,35.685284
20190620,36.194059
20190621,36.103813
20190624,36.296168
20190625,36.016318
20190626,36.187557
20190627,36.460208
20190628,36.461522
20190701,36.819151
20190702,36.83746
20190703,36.645
20190704,36.822343
20190705,36.697563
20190708,36.256014
20190709,36.071364
20190710,36.410779
20190711,36.597008
20190712,36.46678
20190715,36.591199
20190716,36.682055
20190717,36.568761
20190718,36.404921
20190719,36.594745
20190722,36.339795
20190723,36.404428
20190724,36.362784
20190725,36.400033
20190726,36.246224
20190729,36.054429
20190730,36.066143
20190731,35.799863
20190801,35.343747
20190802,34.5149
20190805,33.509318
20190806,33.332818
20190807,33.205228
20190808,33.528918
20190809,33.412099
20190812,33.21472
20190813,32.958534
20190814,32.758444
20190815,32.913164
20190816,32.987366
20190819,33.215688
20190820,33.327277
20190821,33.488758
20190822,33.194045
20190823,33.110036
20190827,32.7166
20190828,32.833465
20190829,33.052041
20190830,33.59207
20190902,33.6426
20190903,33.299504
20190904,34.034884
20190905,34.473899
20190906,34.588913
20190909,34.707419
20190910,34.824725
20190911,35.266919
20190912,35.493296
20190913,35.705129
20190916,35.70638
20190917,35.405083
20190918,35.402159
20190919,35.168051
20190920,35.332526
20190923,35.10612
20190924,34.988655
20190925,34.816132
20190926,34.879768
20190927,34.669139
20190930,34.716849
20191001,34.638344
20191002,34.21677
20191003,34.261984
20191004,34.361484
20191007,34.310648
20191008,34.316208
20191009,34.265653
20191010,34.31922
20191011,34.954467
20191014,35.108408
20191015,35.138244
20191016,35.29182
20191017,35.386491
20191018,35.304798
20191021,35.453843
20191022,35.687284
20191023,35.562423
20191024,35.788284
20191025,35.822195
20191028,35.873095
20191029,35.996367
20191030,35.823821
20191031,35.779761
20191101,36.208953
20191104,36.776833
20191105,36.982636
20191106,36.904564
20191107,37.164239
20191108,36.881144
20191111,36.32089
20191112,36.476103
20191113,35.968701
20191114,35.855276
20191115,36.140813
20191118,36.319278
20191119,36.488278
20191120,36.225521
20191121,35.888091
20191122,36.02582
20191125,36.371057
20191126,36.250973
20191127,36.333891
20191128,36.234203
20191129,35.795436
20191202,35.844111
20191203,35.723602
20191204,35.674421
20191205,35.879506
20191206,36.103245
20191209,36.242695
20191210,36.165741
20191211,36.474173
20191212,36.959712
20191213,37.549935
20191216,37.638723
20191217,38.16212
20191218,38.340631
20191219,38.223195
20191220,38.294153
20191223,38.368844
20191224,38.385756
20191227,38.900632
20191230,38.898243
20191231,38.807476
20200102,39.18237
20200103,39.062921
20200106,38.589032
20200107,38.590802
20200108,38.418279
20200109,39.015018
20200110,39.067931
20200113,39.412222
20200114,39.495655
20200115,39.272361
20200116,39.400342
20200117,39.693506
20200120,39.730992
20200121,39.00076
20200122,39.213934
20200123,38.669102
20200124,38.600004
20200127,38.133916
20200128,38.050096
20200129,37.665181
20200130,36.589683
20200131,36.193486
20200203,36.108439
20200204,36.893351
20200205,37.042348
20200206,37.636779
20200207,37.253396
20200210,36.983431
20200211,37.51908
20200212,37.871678
20200213,37.702818
20200214,37.807293
