Date,NAV
20190709,24.918
20190710,24.978
20190711,25.046
20190712,25.157
20190715,25.183
20190716,25.134
20190717,25.049
20190718,25.051
20190719,25.052
20190722,25.038
20190723,25.151
20190724,25.234
20190725,25.117
20190726,25.144
20190729,25.148
20190730,25.06
20190731,24.911
20190801,24.741
20190802,24.514
20190805,24.032
20190806,24.109
20190807,24.192
20190808,24.53
20190809,24.418
20190812,24.24
20190813,24.372
20190814,23.885
20190815,23.829
20190816,24.102
20190819,24.367
20190820,24.217
20190821,24.383
20190822,24.342
20190823,23.97
20190826,24.044
20190827,24.084
20190828,24.166
20190829,24.379
20190830,24.468
20190831,24.468
20190902,24.444
20190903,24.4
20190904,24.636
20190905,24.863
20190906,24.947
20190909,24.95
20190910,24.984
20190911,25.135
20190912,25.217
20190913,25.253
20190916,25.176
20190917,25.248
20190918,25.247
20190919,25.273
20190920,25.22
20190923,25.202
20190924,25.142
20190925,25.127
20190926,25.14
20190927,25.113
20190930,25.147
20191001,24.929
20191002,24.539
20191003,24.595
20191004,24.829
20191007,24.807
20191008,24.535
20191009,24.642
20191010,24.764
20191011,25.083
20191014,25.004
20191015,25.166
20191016,25.158
20191017,25.225
20191018,25.225
20191021,25.345
20191022,25.339
20191023,25.363
20191024,25.419
20191025,25.471
20191028,25.494
20191029,25.574
20191030,25.6
20191031,25.539
20191101,25.702
20191104,25.763
20191105,25.741
20191106,25.779
20191107,25.827
20191108,25.817
20191111,25.787
20191112,25.806
20191113,25.787
20191114,25.775
20191115,25.961
20191118,25.975
20191119,25.919
20191120,25.808
20191121,25.731
20191122,25.77
20191125,25.917
20191126,25.985
20191127,26.068
20191128,26.056
20191129,25.933
20191130,25.933
20191202,25.79
20191203,25.629
20191204,25.765
20191205,25.823
20191206,25.991
20191209,25.972
20191210,25.939
20191211,25.999
20191212,26.13
20191213,26.223
20191216,26.4
20191217,26.424
20191218,26.406
20191219,26.456
20191220,26.583
20191223,26.561
20191227,26.672
20191230,26.588
20191231,26.625
20200102,26.675
20200103,26.556
20200106,26.528
20200107,26.502
20200108,26.495
20200109,26.591
20200110,26.591
20200113,26.693
20200114,26.749
20200115,26.796
20200116,26.956
20200117,27.07
20200120,27.085
20200121,27.005
20200122,27.017
20200123,26.973
20200124,26.892
20200127,26.512
20200128,26.626
20200129,26.611
20200130,26.607
20200131,26.277
20200203,26.33
20200204,26.58
20200205,26.872
20200206,26.959
20200207,26.799
20200210,26.83
20200211,26.984
20200212,27.089
20200213,27.063
20200214,27.082
20200217,27.086
20200218,27
20200219,27.075
20200220,26.991
20200221,26.876
20200224,26.206
20200225,25.538
20200226,25.32
20200227,24.534
20200228,23.962
20200229,23.962
20200302,24.671
20200303,24.475
20200304,25.156
20200305,24.674
20200306,24.234
20200309,22.533
20200310,22.905
20200311,22.007
20200312,19.732
20200313,20.616
20200316,18.81
20200317,19.514
20200318,18.428
20200319,18.517
20200320,17.991
20200323,17.329
20200324,18.859
20200325,19.482
20200326,20.464
20200327,20.047
20200330,20.504
20200331,20.313
20200401,19.548
20200402,19.754
20200403,19.458
20200406,20.541
20200407,20.786
20200408,21.296
20200409,21.737
20200414,21.926
20200415,21.303
20200416,21.284
20200417,21.947
20200420,21.624
20200421,21.033
20200422,21.38
20200423,21.443
20200424,21.56
20200427,22.002
20200428,22.202
20200429,22.645
20200430,22.268
20200501,21.796
20200505,21.855
20200506,21.637
20200507,21.786
20200508,22.245
20200511,22.138
20200512,21.903
20200513,21.463
20200514,21.455
20200515,21.53
20200518,22.276
20200519,22.234
20200520,22.491
20200521,22.335
20200522,22.277
20200525,22.413
20200526,22.884
20200527,23.169
20200528,23.31
20200529,23.281
20200531,23.281
20200601,23.505
20200602,23.783
20200603,24.227
20200604,24.241
20200605,24.755
20200608,25.038
20200609,24.728
20200610,24.473
20200611,23.282
20200612,23.365
20200615,23.392
20200616,23.901
20200617,23.819
20200618,23.746
20200619,23.608
20200622,23.642
20200623,23.786
20200624,23.189
20200625,23.253
20200626,22.993
20200629,23.241
20200630,23.468
20200701,23.481
20200702,23.643
20200703,23.633
20200706,23.916
20200707,23.661
20200708,23.665
20200709,23.43
20200710,23.654
20200713,23.747
20200714,23.989
20200715,24.373
20200716,24.348
20200717,24.449
20200720,24.419
20200721,24.601
20200722,24.729
20200723,24.677
20200724,24.51
20200727,24.677
20200728,24.586
20200729,24.781
20200730,24.555
20200731,24.446
20200803,24.57
20200804,24.725
20200805,24.904
20200806,24.854
20200807,24.95
20200810,25.148
20200811,25.189
20200812,25.457
20200813,25.39
20200814,25.331
20200817,25.41
20200818,25.378
20200819,25.328
20200820,25.117
20200821,25.109
20200824,25.43
20200825,25.416
20200826,25.453
20200827,25.437
20200828,25.593
20200831,25.472
20200901,25.497
20200902,25.849
20200903,25.389
20200904,25.187
20200907,25.292
20200908,24.941
20200909,25.259
20200910,25.042
20200911,25.143
20200914,25.436
20200915,25.498
20200916,25.583
20200917,25.453
20200918,25.286
20200921,24.735
20200922,24.796
20200923,24.481
20200924,24.412
20200925,24.6
