Date,NAV
20190723,30
20190724,30.0158
20190725,29.8631
20190726,29.9481
20190729,29.9691
20190730,29.5331
20190731,29.5903
20190801,29.7128
20190802,28.9849
20190805,28.306
20190806,28.1772
20190807,28.2389
20190808,28.7401
20190809,28.5019
20190812,28.4102
20190813,28.5673
20190814,28.0927
20190815,28.0288
20190816,28.3786
20190819,28.7043
20190820,28.5037
20190821,28.8502
20190822,28.7495
20190823,28.5258
20190826,28.5159
20190827,28.691
20190828,28.6412
20190829,28.9416
20190830,29.1458
20190902,29.2432
20190903,29.1786
20190904,29.4408
20190905,29.6633
20190906,29.7513
20190909,29.6778
20190910,29.7315
20190911,29.9709
20190912,30.0215
20190913,30.1187
20190916,29.9569
20190917,29.9317
20190918,29.9395
20190919,30.1245
20190920,30.2092
20190923,29.9787
20190924,29.9724
20190925,29.8018
20190926,29.9844
20190927,30.1401
20190930,30.2414
20191001,29.848
20191002,29.0462
20191003,29.0469
20191004,29.2502
20191007,29.4599
20191008,29.14
20191009,29.2565
20191010,29.4453
20191011,30.119
20191014,29.9734
20191015,30.2995
20191016,30.2548
20191017,30.2346
20191018,30.1427
20191021,30.3323
20191022,30.3741
20191023,30.4068
20191024,30.5923
20191025,30.6387
20191028,30.7138
20191029,30.6631
20191030,30.6957
20191031,30.5333
20191101,30.7419
20191104,31.0548
20191105,31.1238
20191106,31.1875
20191107,31.3029
20191108,31.2098
20191111,31.2047
20191112,31.3207
20191113,31.2374
20191114,31.1329
20191115,31.2583
20191118,31.2493
20191119,31.212
20191120,31.0823
20191121,30.9671
20191122,31.1072
20191125,31.423
20191126,31.439
20191127,31.5379
20191128,31.5043
20191129,31.3555
20191202,30.878
20191203,30.6674
20191204,31.0253
20191205,30.9855
20191206,31.3452
20191209,31.2806
20191210,31.2024
20191211,31.2726
20191212,31.379
20191213,31.7081
20191216,32.1512
20191217,31.954
20191218,31.9188
20191219,31.9749
20191220,32.2192
20191223,32.2097
20191224,32.2652
20191226,32.2742
20191227,32.3278
20191230,32.0494
20191231,32.0304
20200102,32.327
20200103,32.2365
20200106,32.123
20200107,32.1919
20200108,32.2451
20200109,32.3355
20200110,32.296
20200113,32.2358
20200114,32.3277
20200115,32.3325
20200116,32.4052
20200117,32.7098
20200120,32.6688
20200121,32.6184
20200122,32.5874
20200123,32.3638
20200124,32.6361
20200127,31.9037
20200128,32.1659
20200129,32.2974
20200130,31.974
20200131,31.6248
20200203,31.6879
20200204,32.1984
20200205,32.5962
20200206,32.7458
20200207,32.6584
20200210,32.6748
20200211,32.9718
20200212,33.1832
20200213,33.1735
20200214,33.1174
20200217,33.2272
20200218,33.104
20200219,33.3796
20200220,33.1014
20200221,32.9319
20200224,31.689
20200225,31.1389
20200226,31.143
20200227,30.0122
20200228,28.957
20200302,28.9881
20200303,29.3804
20200304,29.7866
20200305,29.375
20200306,28.3014
20200309,26.1711
20200310,25.8835
20200311,25.6815
20200312,22.7134
20200313,23.0445
20200316,21.9451
20200317,22.4494
20200318,21.5674
20200319,22.2263
20200320,22.6196
20200323,21.6526
20200324,23.4996
20200325,24.2335
20200326,24.8488
20200327,24.0302
20200330,24.3468
20200331,24.754
20200401,24.0415
20200402,24.1712
20200403,23.9438
20200406,24.8172
20200407,25.2737
20200408,25.2646
20200409,25.6558
20200413,25.6971
20200414,25.8138
20200415,24.9681
20200416,25.1115
20200417,25.7689
20200420,25.938
20200421,25.0659
20200422,25.5329
20200423,25.7796
20200424,25.4997
20200427,25.9737
20200428,26.4203
20200429,26.8915
20200430,26.3302
20200501,26.0895
20200504,25.4402
20200505,26.0026
20200506,25.9122
20200507,26.2081
20200508,26.4401
20200511,26.3429
20200512,26.4241
20200513,25.9118
20200514,25.3576
20200515,25.4856
20200518,26.5315
20200519,26.3567
20200520,26.6171
20200521,26.4244
20200522,26.4115
20200525,26.7897
20200526,27.0868
20200527,27.1603
20200528,27.5964
20200529,27.1909
20200601,27.5
20200602,27.9359
20200603,28.6517
