Date,NAV
20140530,24.78161
20140602,24.823726
20140603,24.974863
20140604,24.877303
20140605,24.962748
20140606,25.186399
20140609,25.283573
20140610,25.480478
20140611,25.448048
20140612,25.447313
20140613,25.341737
20140616,25.280796
20140617,25.231933
20140618,25.253264
20140619,25.392102
20140620,25.253517
20140623,25.214391
20140624,25.353266
20140625,25.209116
20140626,25.334311
20140627,25.320803
20140630,25.441994
20140701,25.472177
20140702,25.690277
20140703,25.750785
20140704,25.773004
20140707,25.811027
20140708,25.816346
20140709,25.73199
20140710,25.768729
20140711,25.686898
20140714,25.833922
20140715,25.903905
20140716,25.938571
20140717,25.83794
20140718,25.861964
20140721,25.865008
20140722,26.124418
20140723,26.196314
20140724,26.269533
20140725,26.220987
20140728,26.225838
20140729,26.23717
20140730,26.193662
20140731,25.893996
20140801,25.780498
20140804,25.997321
20140805,25.839407
20140806,25.688098
20140807,25.555346
20140808,25.433534
20140811,25.801755
20140812,25.87637
20140813,26.044122
20140814,26.077251
20140815,26.126095
20140818,26.18846
20140819,26.374472
20140820,26.378624
20140821,26.311664
20140822,26.351763
20140826,26.463508
20140827,26.604722
20140828,26.463361
20140829,26.496092
20140901,26.551093
20140902,26.467275
20140903,26.780249
20140904,26.774345
20140905,26.697757
20140908,26.655421
20140909,26.487789
20140910,26.221601
20140911,26.08312
20140912,25.889559
20140915,25.769214
20140916,25.72168
20140917,25.911844
20140918,25.769424
20140919,25.728237
20140922,25.408362
20140923,25.240759
20140924,25.298145
20140925,25.082804
20140926,25.032305
20140929,24.683628
20140930,24.597913
20141001,24.397483
20141002,24.279861
20141003,24.39067
20141006,24.698652
20141007,24.715829
20141008,24.453094
20141009,24.649734
20141010,24.227943
20141013,24.216709
20141014,24.235224
20141015,24.015448
20141016,23.732429
20141017,23.886821
20141020,24.004411
20141021,24.025913
20141022,24.142776
20141023,24.024373
20141024,24.075626
20141027,23.91212
20141028,24.27092
20141029,24.559224
20141030,24.608667
20141031,24.804723
20141103,24.679053
20141104,24.600192
20141105,24.398571
20141106,24.232752
20141107,24.15161
20141110,24.36675
20141111,24.287614
20141112,24.330601
20141113,24.261582
20141114,24.227171
20141117,24.098594
20141118,24.162844
20141119,24.201385
20141120,24.199226
20141121,24.535417
20141124,24.689178
20141125,24.637121
20141126,24.709539
20141127,24.714417
20141128,24.530661
20141201,24.070999
20141202,24.069567
20141203,24.101582
20141204,24.125405
20141205,24.093695
20141208,23.871185
20141209,23.602054
20141210,23.460232
20141211,23.179141
20141212,23.004959
20141215,22.677984
20141216,22.364184
20141217,22.544703
20141218,22.918197
20141219,23.133845
20141222,23.419583
20141223,23.289466
20141224,23.294512
20141226,23.294512
20141229,23.500934
20141230,23.406744
20141231,23.459089
20150101,23.459089
20150102,23.398186
20150105,23.101979
20150106,22.965136
20150107,23.116931
20150108,23.504797
20150109,23.569519
20150112,23.43877
20150113,23.545211
20150114,23.445717
20150115,23.528979
20150116,23.470513
20150119,23.356057
20150120,23.464345
20150121,23.892857
20150122,24.081701
20150123,24.232349
20150126,24.182788
20150127,24.221477
20150128,24.10678
20150129,23.858465
20150130,23.589903
20150202,23.629157
20150203,23.918597
20150204,24.010536
