Date,NAV
20140911,25.534
20140912,25.426
20140915,25.398
20140916,25.4667
20140917,25.512
20140918,25.5737
20140919,25.5293
20140922,25.356
20140923,25.1856
20140924,25.2405
20140925,24.982
20140926,25.0023
20140929,24.9394
20140930,24.8962
20141001,24.6068
20141002,24.4088
20141003,24.4527
20141006,24.5429
20141007,24.2982
20141008,24.4135
20141009,24.1462
20141010,23.7474
20141013,23.6459
20141014,23.6194
20141015,23.3913
20141016,23.3235
20141017,23.5897
20141020,23.7913
20141021,24.1102
20141022,24.1201
20141023,24.2428
20141024,24.3467
20141027,24.3246
20141028,24.5594
20141029,24.6087
20141030,24.6055
20141031,24.8143
20141103,24.6579
20141104,24.676
20141105,24.8253
20141106,24.8104
20141107,24.829
20141110,24.9482
20141111,24.9621
20141112,24.9375
20141113,24.9411
20141114,24.978
20141117,24.922
20141118,25.1426
20141119,25.0501
20141120,25.0353
20141121,25.2349
20141124,25.2414
20141125,25.2982
20141126,25.3575
20141127,25.255
20141128,25.1719
20141201,25.0807
20141202,25.1289
20141203,25.1736
20141204,25.1193
20141205,25.1234
20141208,24.9483
20141209,24.8538
20141210,24.5428
20141211,24.5174
20141212,24.196
20141215,23.8504
20141216,23.9484
20141217,24.1304
20141218,24.6211
20141219,24.7793
20141222,24.8589
20141223,24.8811
20141224,24.9217
20141229,24.9938
20141230,24.8454
20141231,24.7037
20150102,24.6125
20150105,24.1253
20150106,23.9071
20150107,23.9626
20150108,24.4289
20150109,24.3417
20150112,24.2703
20150113,24.3181
20150114,24.1222
20150115,24.1249
20150116,24.2582
20150119,24.4025
20150120,24.4581
20150121,24.6197
20150122,24.831
20150123,24.7965
20150126,24.8735
20150127,24.8382
20150128,24.6652
20150129,24.6716
20150130,24.486
20150202,24.7008
20150203,25.0212
20150204,25.0393
20150205,25.2029
20150206,25.0542
20150209,25.0156
20150210,25.1292
20150211,25.0301
20150212,25.3743
20150213,25.5318
20150216,25.5709
20150217,25.5759
20150218,25.7718
20150219,25.8775
20150220,26.0221
20150223,26.0773
20150224,26.1388
20150225,26.1943
20150226,26.2175
20150227,26.2413
20150302,26.2209
20150303,26.2502
20150304,26.1242
20150305,26.1539
20150306,25.8413
20150309,25.8018
20150310,25.389
20150311,25.3453
20150312,25.6001
20150313,25.4558
20150316,25.6893
20150317,25.6635
20150318,25.9396
20150319,25.8949
20150320,26.2481
20150323,26.3893
20150324,26.2807
20150325,26.1452
20150326,25.9596
20150327,25.9302
20150330,26.0335
20150331,25.806
20150401,25.745
20150402,25.9404
20150407,26.2375
20150408,26.2913
20150409,26.3501
20150410,26.4608
20150413,26.3495
20150414,26.5418
20150415,26.6132
20150416,26.7067
20150417,26.475
20150420,26.5768
20150421,26.6489
20150422,26.6751
20150423,26.7975
20150424,26.9475
20150427,27.0225
20150428,27.0539
20150429,26.9565
20150430,26.6887
20150501,26.7731
20150505,26.6431
20150506,26.6681
20150507,26.5375
20150508,26.8778
20150511,26.8529
20150512,26.8143
20150513,26.9513
20150514,27.0855
20150515,27.1393
20150518,27.1111
20150519,26.9633
20150520,26.9726
20150521,27.1271
20150522,26.9913
20150526,26.6083
20150527,26.7582
20150528,26.7369
20150529,26.5614
20150601,26.4829
20150602,26.6345
20150603,26.7521
20150604,26.5112
20150605,26.2149
20150608,26.1092
20150609,26.0935
20150610,26.4992
20150611,26.501
20150612,26.3492
20150615,26.1223
20150616,26.1845
20150617,26.1324
20150618,26.4047
20150619,26.3404
20150622,26.6843
20150623,26.6565
20150624,26.5134
20150625,26.4147
20150626,26.3429
20150629,25.7643
20150630,25.6771
20150701,25.811
20150702,25.7908
20150703,25.7208
20150706,25.4531
20150707,25.2951
20150708,25.0989
20150709,25.2736
20150710,25.6461
20150713,25.8244
20150714,25.9767
20150715,25.936
20150716,26.1244
20150717,26.0441
20150720,26.039
20150721,25.9894
20150722,25.7689
20150723,25.7519
20150724,25.462
20150727,25.3302
20150728,25.4847
20150729,25.693
20150730,25.6897
20150731,25.8219
20150803,25.7473
20150804,25.7335
20150805,25.8153
20150806,25.7341
20150807,25.6391
20150810,25.944
20150811,25.6738
20150812,25.5531
20150813,25.5324
20150814,25.5394
20150817,25.5755
20150818,25.4802
20150819,25.1481
20150820,24.8274
20150821,24.2507
20150824,23.3876
20150825,23.3126
20150826,23.6488
20150827,24.13
20150828,24.3346
20150901,23.509
20150902,23.5992
20150903,23.7552
20150904,23.3218
20150907,23.4096
20150908,23.7949
20150909,23.9742
20150910,23.8807
20150911,23.8579
20150914,23.7667
20150915,23.9158
20150916,24.2671
20150917,24.2547
20150918,23.8829
20150921,23.7577
20150922,23.2718
20150923,23.2026
20150924,22.9977
20150925,23.0877
20150928,22.6244
20150929,22.461
20150930,22.9266
20151001,22.9992
20151002,23.3118
20151005,23.8206
20151006,23.9866
20151007,24.2728
20151008,24.4443
20151009,24.721
20151012,24.6851
20151013,24.4543
20151014,24.3285
20151015,24.5996
20151016,24.6666
20151019,24.515
20151020,24.4877
20151021,24.507
20151022,24.6978
20151023,24.9079
20151026,24.8769
20151027,24.6323
20151028,24.8811
20151029,24.7357
20151030,24.8103
20151102,24.9232
20151103,24.9784
20151104,24.9308
20151105,24.8768
20151106,24.7582
20151109,24.6017
20151110,24.5357
20151111,24.5403
20151112,24.2531
20151113,24.0227
20151116,24.1654
20151117,24.3246
20151118,24.4935
20151119,24.6886
20151120,24.6855
20151123,24.587
20151124,24.5903
20151125,24.612
20151126,24.758
20151127,24.6418
20151130,24.609
20151201,24.8176
20151202,24.596
20151203,24.3974
20151204,24.5072
20151207,24.3936
20151208,24.0886
20151209,24.084
20151210,24.0625
20151211,23.7082
20151214,23.5279
20151215,23.6912
20151216,24.0148
20151217,23.8254
20151218,23.5509
20151221,23.6148
20151222,23.7941
20151223,24.1605
20151224,24.2187
20151229,24.3397
20151230,24.2141
20151231,24.0357
20160104,23.5788
20160105,23.5355
20160106,23.224
20160107,22.7383
20160108,22.5379
20160111,22.4568
20160112,22.417
20160113,22.3036
20160114,22.2843
20160115,21.9218
20160118,21.7937
20160119,21.8947
20160120,21.3946
20160121,21.5274
20160122,22.1354
20160125,21.9312
20160126,22.1628
20160127,22.204
20160128,22.2352
20160129,22.5879
20160201,22.6884
20160202,22.2951
20160203,22.3254
20160204,22.554
20160205,22.3644
20160208,22.0057
20160209,21.7355
20160210,21.5963
20160211,21.3756
20160212,21.565
20160215,21.9667
20160216,22.2515
20160217,22.6496
20160218,22.7628
20160219,22.5993
20160222,22.964
20160223,22.6976
20160224,22.5166
20160225,22.7723
20160226,22.8231
20160229,22.8023
20160301,23.1606
20160302,23.4707
20160303,23.7578
20160304,24.0492
20160307,24.1281
20160308,23.8008
20160309,23.8525
20160310,23.8183
20160311,24.2521
20160314,24.2893
20160315,24.0686
20160316,24.1104
20160317,24.6075
20160318,24.6674
20160321,24.5907
20160322,24.6143
20160323,24.3273
20160324,24.1676
20160329,24.3522
20160330,24.7003
20160331,24.63
20160401,24.3502
20160404,24.3794
20160405,23.9789
20160406,24.1721
20160407,24.0454
20160408,24.2768
20160411,24.4098
20160412,24.6643
20160413,25.0642
20160414,25.164
20160415,25.1184
20160418,25.1673
20160419,25.5781
20160420,25.6525
20160421,25.5576
20160422,25.4805
20160425,25.3578
20160426,25.4078
20160427,25.4685
20160428,25.4084
20160429,25.3509
20160503,24.9508
20160504,24.664
20160505,24.5753
20160506,24.6165
20160509,24.4573
20160510,24.7616
20160511,24.691
20160512,24.6099
20160513,24.3415
20160516,24.5488
20160517,24.5524
20160518,24.4674
20160519,24.2379
20160520,24.4512
20160523,24.4113
20160524,24.6372
20160525,24.9213
20160526,25.0074
20160527,25.0267
20160531,25.0404
20160601,24.9751
20160602,25.0086
20160603,25.1317
20160606,25.2959
20160607,25.4886
20160608,25.5574
20160609,25.3088
20160610,24.8857
20160613,24.5593
20160614,24.2653
20160615,24.378
20160616,24.2269
20160617,24.4966
20160620,25.0202
20160621,25.0576
20160622,25.0535
20160623,25.4607
20160624,24.0897
20160627,23.3467
20160628,23.7493
20160629,24.3317
20160630,24.6333
20160701,24.791
20160704,24.7973
20160705,24.4751
20160706,24.3463
20160707,24.4168
20160708,24.7109
20160711,24.9746
20160712,25.2964
20160713,25.3909
20160714,25.5359
20160715,25.4962
20160718,25.5409
20160719,25.4138
20160720,25.4955
20160721,25.5314
20160722,25.5005
20160725,25.4924
20160726,25.5621
20160727,25.6025
20160728,25.6022
20160729,25.8263
20160801,25.692
20160802,25.4699
20160803,25.4351
20160804,25.5473
20160805,25.7033
20160808,25.8296
20160809,25.9711
20160810,25.9599
20160811,26.1286
20160812,26.1571
20160815,26.1836
20160816,26.0668
20160817,26.0833
20160818,26.2008
20160819,26.1542
20160822,26.1619
20160823,26.2787
20160824,26.1954
20160825,26.1293
20160826,26.0949
20160830,26.0597
20160831,25.9889
