Date,NAV
20150218,30.3722
20150219,30.3712
20150220,30.5146
20150223,30.6525
20150224,30.8325
20150225,30.8209
20150226,31.098
20150227,31.2452
20150302,31.1336
20150303,30.9409
20150304,30.9538
20150305,31.3475
20150306,31.5469
20150309,31.5025
20150310,31.261
20150311,31.5823
20150312,31.5966
20150313,31.6917
20150316,31.787
20150317,31.4644
20150318,31.4522
20150319,31.7468
20150320,31.9539
20150323,31.8819
20150324,32.0547
20150325,31.8314
20150326,31.4788
20150327,31.4917
20150330,31.7564
20150331,31.7603
20150401,31.844
20150402,31.8851
20150407,32.3716
20150408,32.5846
20150409,32.8656
20150410,33.1442
20150413,33.2378
20150414,33.1888
20150415,33.4206
20150416,33.1668
20150417,32.5648
20150420,32.762
20150421,32.9178
20150422,32.8087
20150423,32.6905
20150424,32.8653
20150427,33.1735
20150428,32.8072
20150429,32.208
20150430,32.1296
20150501,31.9452
20150505,31.9116
20150506,31.7107
20150507,31.806
20150508,32.6933
20150511,32.952
20150512,32.5918
20150513,32.7465
20150514,32.9092
20150515,32.9872
20150518,32.9911
20150519,33.4256
20150520,33.4725
20150521,33.5678
20150522,33.5565
20150526,33.3095
20150527,33.5228
20150528,33.3873
20150529,33.016
20150601,33.1023
20150602,32.9935
20150603,32.9633
20150604,32.7032
20150605,32.4154
20150608,32.1368
20150609,32.0904
20150610,32.6002
20150611,32.6656
20150612,32.3698
20150615,31.8149
20150616,32.018
20150617,31.9743
20150618,31.8466
20150619,32.0594
20150622,32.5123
20150623,32.9633
20150624,32.7888
20150625,32.7776
20150626,32.8085
20150629,32.0475
20150630,31.9407
20150701,32.3326
20150702,32.1397
20150703,31.9894
20150706,31.5765
20150707,31.0467
20150708,30.83
20150709,31.4221
20150710,31.8834
20150713,32.5658
20150714,32.5812
20150715,32.748
20150716,33.1897
20150717,33.259
20150720,33.3329
20150721,33.1166
20150722,33.0698
20150723,32.8474
20150724,32.6525
20150727,31.9141
20150728,32.2303
20150729,32.5891
20150730,32.6586
20150731,32.6351
20150803,32.818
20150804,32.7952
20150805,33.1174
20150806,32.8354
20150807,32.54
20150810,32.7315
20150811,32.4164
20150812,31.7304
20150813,32.1197
20150814,32.1681
20150817,32.2369
20150818,32.3529
20150819,31.9064
20150820,31.2551
20150821,30.4497
20150824,28.9211
20150825,30.1005
20150826,29.8386
20150827,30.6557
20150828,30.7868
20150901,30.163
20150902,30.1793
20150903,30.8237
20150904,30.2064
20150907,30.2392
20150908,30.6163
20150909,30.9329
20150910,30.696
20150911,30.3972
20150914,30.2003
20150915,30.2829
20150916,30.6135
20150917,30.6329
20150918,30.3453
20150921,30.4823
20150922,29.7285
20150923,29.7773
20150924,29.1771
20150925,29.7378
20150928,29.2677
20150929,29.0381
20150930,29.5326
20151001,29.5534
20151002,29.6232
20151005,30.3612
20151006,30.5654
20151007,30.6775
20151008,30.7445
20151009,30.7875
20151012,30.658
20151013,30.2974
20151014,30.2324
20151015,30.5821
20151016,30.5497
20151019,30.7196
20151020,30.7015
20151021,30.7612
20151022,31.0565
20151023,31.5198
20151026,31.472
20151027,31.0443
20151028,31.3219
20151029,31.3033
20151030,31.4048
20151102,31.6258
20151103,31.7455
20151104,31.8723
20151105,31.6931
20151106,31.9101
20151109,31.7542
20151110,31.6957
20151111,31.8191
20151112,31.3292
20151113,31.1658
20151116,31.3384
20151117,31.8946
20151118,31.9377
20151119,32.0223
20151120,32.0632
20151123,31.9826
20151124,31.55
20151125,31.7871
20151126,32.0263
20151127,32.0813
20151130,32.3946
20151201,32.4959
20151202,32.4632
20151203,31.7951
20151204,31.7317
20151207,31.6915
20151208,31.1043
20151209,31.0889
20151210,30.998
20151211,30.4135
20151214,29.9402
20151215,30.5279
20151216,30.6769
20151217,30.8182
20151218,30.6637
20151221,30.4267
20151222,30.4543
20151223,31.1496
20151224,31.1769
20151229,31.4055
20151230,31.3396
20151231,31.2449
20160104,30.7347
20160105,30.8397
20160106,30.3594
20160107,29.6008
20160108,29.2476
20160111,29.0778
20160112,29.1455
20160113,29.2184
20160114,28.6964
20160115,27.8603
20160118,27.4573
20160119,27.7006
20160120,26.7714
20160121,27.1998
20160122,28.1015
20160125,28.078
20160126,28.2769
20160127,28.2382
20160128,28.1048
20160129,28.5401
20160201,28.6615
20160202,28.1249
20160203,27.6883
20160204,27.7451
20160205,27.6332
20160208,26.3764
20160209,25.7707
20160210,26.3034
20160211,25.5127
20160212,26.1005
20160215,26.8684
20160216,26.6826
20160217,27.4373
20160218,27.6865
20160219,27.3901
20160222,27.8281
20160223,27.6395
20160224,27.1682
20160225,27.5523
20160226,28.0371
20160229,28.4206
20160301,28.8671
20160302,29.0187
