Date,NAV
20150218,30.0862
20150219,30.0818
20150220,30.1955
20150223,30.1521
20150224,30.2347
20150225,30.2612
20150226,30.2473
20150227,30.1286
20150302,30.2953
20150303,30.1433
20150304,30.0234
20150305,30.009
20150306,29.6535
20150309,29.7095
20150310,29.2784
20150311,29.4624
20150312,29.8743
20150313,29.7086
20150316,29.8955
20150317,29.9567
20150318,30.2971
20150319,30.1852
20150320,30.5263
20150323,30.5636
20150324,30.5209
20150325,30.0302
20150326,29.9458
20150327,30.0513
20150330,30.4753
20150331,30.3872
20150401,30.3478
20150402,30.4912
20150407,30.5149
20150408,30.6186
20150409,30.5885
20150410,30.6676
20150413,30.6193
20150414,30.6559
20150415,30.9197
20150416,30.8111
20150417,30.3821
20150420,30.6226
20150421,30.5519
20150422,30.6272
20150423,30.7467
20150424,30.6732
20150427,30.4515
20150428,30.6317
20150429,30.4322
20150430,30.0112
20150501,30.173
20150505,29.9235
20150506,29.9184
20150507,29.9817
20150508,30.2341
20150511,30.2569
20150512,30.2002
20150513,30.239
20150514,30.4818
20150515,30.4948
20150518,30.7383
20150519,30.6495
20150520,30.6877
20150521,30.7121
20150522,30.6203
20150526,30.2888
20150527,30.566
20150528,30.5208
20150529,30.3469
20150601,30.3581
20150602,30.5053
20150603,30.6964
20150604,30.3879
20150605,30.5234
20150608,30.3194
20150609,30.2829
20150610,30.6877
20150611,30.7291
20150612,30.595
20150615,30.4451
20150616,30.613
20150617,30.5608
20150618,30.8024
20150619,30.7514
20150622,30.8945
20150623,31.0247
20150624,30.7424
20150625,30.6361
20150626,30.6349
20150629,29.8764
20150630,29.8727
20150701,29.9122
20150702,29.8021
20150703,29.8019
20150706,29.6666
20150707,29.7583
20150708,29.2746
20150709,29.3314
20150710,29.6468
20150713,29.9143
20150714,30.0609
20150715,29.802
20150716,29.9016
20150717,29.6499
20150720,29.4754
20150721,29.3312
20150722,29.3424
20150723,29.0742
20150724,28.6867
20150727,28.4139
20150728,28.7189
20150729,29.0545
20150730,29.077
20150731,29.1175
20150803,28.9277
20150804,28.8755
20150805,28.9016
20150806,28.7734
20150807,28.5889
20150810,29.1011
20150811,28.8573
20150812,28.8147
20150813,28.7036
20150814,28.9185
20150817,29.118
20150818,28.9611
20150819,28.6344
20150820,28.0432
20150821,27.5175
20150824,26.4676
20150825,26.2048
20150826,26.8374
20150827,27.5092
20150828,27.7306
20150901,26.9427
20150902,27.2867
20150903,27.3973
20150904,27.0844
20150907,27.0838
20150908,27.6699
20150909,27.3601
20150910,27.4124
20150911,27.4425
20150914,27.3067
20150915,27.6182
20150916,27.9478
20150917,27.9125
20150918,27.3874
20150921,27.4787
20150922,27.0698
20150923,26.9513
20150924,26.9231
20150925,26.813
20150928,26.0859
20150929,26.0354
20150930,26.3689
20151001,26.3137
20151002,26.6977
20151005,27.4233
20151006,27.4789
20151007,27.8706
20151008,28.2596
20151009,28.227
20151012,28.1359
20151013,27.8459
20151014,27.6294
20151015,28.0395
20151016,27.9944
20151019,27.9826
20151020,28.1042
20151021,27.6852
20151022,27.8608
20151023,28.0748
20151026,27.8988
20151027,27.4868
20151028,28.1986
20151029,28.0375
20151030,27.9885
20151102,28.4927
20151103,28.6293
20151104,28.5151
20151105,28.5787
20151106,28.7301
20151109,28.3744
20151110,28.4602
20151111,28.2163
20151112,27.5841
20151113,27.3832
20151116,27.7141
20151117,27.5953
20151118,28.0503
20151119,27.945
20151120,28.0561
20151123,28.1655
20151124,28.3901
20151125,28.523
20151126,28.5228
20151127,28.5578
20151130,28.4764
20151201,28.6316
20151202,28.2244
20151203,27.8034
20151204,27.9431
20151207,27.4185
20151208,27.1581
20151209,26.9733
20151210,27.1015
20151211,26.5183
20151214,26.2352
20151215,26.6031
20151216,26.9448
20151217,26.5646
20151218,26.2332
20151221,26.4088
20151222,26.7283
20151223,27.2214
20151224,27.2465
20151229,27.2494
20151230,26.9805
20151231,26.7429
20160104,26.3713
20160105,26.3583
20160106,25.8858
20160107,25.1596
20160108,24.778
20160111,24.6459
20160112,24.6291
20160113,23.8746
20160114,24.1805
20160115,23.7192
20160118,23.7183
20160119,23.3743
20160120,23.2998
20160121,23.3984
20160122,23.9556
20160125,23.3322
20160126,24.0087
20160127,23.7876
20160128,23.8764
20160129,24.6974
20160201,24.5887
20160202,23.999
20160203,24.196
20160204,24.48
20160205,23.9518
20160208,23.5153
20160209,23.3011
20160210,23.2768
20160211,22.9144
