Date,NAV
20151209,25
20151210,25.0337
20151211,24.5651
20151214,24.291
20151215,24.5664
20151216,24.91
20151217,24.691
20151218,24.4595
20151221,24.5776
20151222,24.8369
20151223,25.2739
20151224,25.346
20151228,25.1707
20151229,25.3449
20151230,25.1485
20151231,24.9852
20160104,24.521
20160105,24.4543
20160106,24.0399
20160107,23.4202
20160108,23.1304
20160111,23.0098
20160112,22.9198
20160113,22.6404
20160114,22.694
20160115,22.2469
20160118,22.0829
20160119,22.0116
20160120,21.5803
20160121,21.7298
20160122,22.2906
20160125,21.8746
20160126,22.2353
20160127,22.2357
20160128,22.251
20160129,22.744
20160201,22.716
20160202,22.1407
20160203,22.1782
20160204,22.5872
20160205,22.3441
20160208,21.8448
20160209,21.5466
20160210,21.5092
20160211,21.0433
20160212,21.4519
20160215,21.7505
20160216,22.1066
20160217,22.5588
20160218,22.5691
20160219,22.3839
20160222,22.7671
20160223,22.4631
20160224,22.3688
20160225,22.6419
20160226,22.831
20160229,22.8325
20160301,23.2446
20160302,23.6677
20160303,24.1074
20160304,24.4439
20160307,24.6594
20160308,24.1137
20160309,24.1865
20160310,24.1541
20160311,24.7971
20160314,24.7918
20160315,24.5229
20160316,24.5888
20160317,25.0643
20160318,25.2392
20160321,25.1744
20160322,25.1258
20160323,24.7199
20160324,24.5211
20160328,24.6071
20160329,24.8025
20160330,25.0433
20160331,24.9988
20160401,24.777
20160404,24.6542
20160405,24.2154
20160406,24.3367
20160407,24.0551
20160408,24.3169
20160411,24.4188
20160412,24.6978
20160413,25.3288
20160414,25.4232
20160415,25.3724
20160418,25.4133
20160419,25.7433
20160420,25.9086
20160421,25.8638
20160422,25.9847
20160425,25.7969
20160426,26.0045
20160427,26.0933
20160428,25.9083
20160429,25.7365
20160502,25.7344
20160503,25.3133
20160504,25.0349
20160505,24.8959
20160506,24.9438
20160509,24.7907
20160510,25.1
20160511,24.9277
20160512,24.7914
20160513,24.5247
20160516,24.6866
20160517,24.6383
20160518,24.7579
20160519,24.5324
20160520,24.7947
20160523,24.7375
20160524,25.072
20160525,25.4022
20160526,25.3628
20160527,25.4962
20160530,25.4993
20160531,25.5158
20160601,25.4884
20160602,25.5054
20160603,25.4216
20160606,25.6128
20160607,25.7908
20160608,25.8839
20160609,25.6062
20160610,25.1003
20160613,24.6452
20160614,24.287
20160615,24.3876
20160616,24.2121
20160617,24.5146
20160620,25.0597
20160621,25.0446
20160622,25.0252
20160623,25.5337
20160624,23.7711
20160627,22.8039
20160628,23.2294
20160629,23.8044
20160630,24.1217
20160701,24.2585
20160704,24.1937
20160705,23.6476
20160706,23.5092
20160707,23.6526
20160708,24.1205
20160711,24.4926
20160712,24.9937
20160713,25.0325
20160714,25.2581
20160715,25.2633
20160718,25.358
20160719,25.2161
20160720,25.3496
20160721,25.3682
20160722,25.3711
20160725,25.3787
20160726,25.4548
20160727,25.5324
20160728,25.4481
20160729,25.7142
20160801,25.5794
20160802,25.2191
20160803,25.3067
20160804,25.3905
20160805,25.736
20160808,25.9144
20160809,26.0188
20160810,25.9593
20160811,26.0739
20160812,26.0718
20160815,26.1981
20160816,26.0899
20160817,26.0817
20160818,26.2191
20160819,26.1522
20160822,26.1805
20160823,26.3471
20160824,26.2909
20160825,26.2785
20160826,26.262
20160829,26.2847
20160830,26.4073
20160831,26.4311
20160901,26.4893
20160902,26.6711
20160905,26.7358
20160906,26.7929
20160907,26.9436
20160908,26.9939
20160909,26.4793
20160912,26.5106
20160913,26.1064
20160914,25.9929
20160915,26.17
20160916,26.0078
20160919,26.1697
20160920,26.0606
20160921,26.4294
20160922,26.7816
20160923,26.6253
20160926,26.2892
20160927,26.3442
20160928,26.4869
20160929,26.3578
20160930,26.5001
20161003,26.4345
20161004,26.4381
20161005,26.6705
20161006,26.6284
20161007,26.4729
20161010,26.6262
20161011,26.3394
20161012,26.28
20161013,26.0316
20161014,26.1321
20161017,26.0625
20161018,26.3368
20161019,26.5102
20161020,26.4999
20161021,26.4414
20161024,26.5991
20161025,26.5092
20161026,26.5556
20161027,26.4547
20161028,26.4184
20161031,26.4523
20161101,26.3427
20161102,26.1148
20161103,26.1145
20161104,26.0373
20161107,26.4597
20161108,26.5018
20161109,26.8065
20161110,27.3787
20161111,27.5838
20161114,27.8711
20161115,27.9422
20161116,27.8344
20161117,27.9708
20161118,27.8476
20161121,27.9891
20161122,28.1668
20161123,28.1645
20161124,28.1982
20161125,28.2729
20161128,28.0844
20161129,28.1349
20161130,28.0985
20161201,28.2484
20161202,28.2061
20161205,28.4603
20161206,28.8618
20161207,29.3119
20161208,29.6328
20161209,29.6461
20161212,29.4896
20161213,29.6299
20161214,29.3905
20161215,29.3387
20161216,29.3485
20161219,29.3917
20161220,29.501
20161221,29.4578
20161222,29.3039
20161223,29.3505
20161227,29.3785
