Date,NAV
20150904,4.929128
20150907,4.928987
20150908,5.054887
20150909,5.004108
20150910,5.020208
20150911,5.046904
20150914,5.024883
20150915,5.08137
20150916,5.126614
20150917,5.117267
20150918,5.032054
20150921,5.052218
20150922,4.97717
20150923,4.973158
20150924,4.950087
20150925,4.944038
20150928,4.80348
20150929,4.825816
20150930,4.922305
20151001,4.917479
20151002,4.978465
20151005,5.056436
20151006,5.017201
20151007,5.061901
20151008,5.107145
20151009,5.105117
20151012,5.120879
20151013,5.088582
20151014,5.05767
20151015,5.119061
20151016,5.144969
20151019,5.15018
20151020,5.149404
20151021,5.106342
20151022,5.160239
20151023,5.190546
20151026,5.181759
20151027,5.174479
20151028,5.241449
20151029,5.238922
20151030,5.222918
20151102,5.282136
20151103,5.269935
20151104,5.256497
20151105,5.264169
20151106,5.266385
20151109,5.220103
20151110,5.23374
20151111,5.20274
20151112,5.116023
20151113,5.064664
20151116,5.136788
20151117,5.127779
20151118,5.203837
20151119,5.177896
20151120,5.214692
20151123,5.219429
20151124,5.224316
20151125,5.223618
20151126,5.223568
20151127,5.235274
20151130,5.21578
20151201,5.269667
20151202,5.218688
20151203,5.131757
20151204,5.232619
20151207,5.186834
20151208,5.156192
20151209,5.111163
20151210,5.119696
20151211,5.032526
20151214,5.025695
20151215,5.073926
20151216,5.150922
20151217,5.084928
20151218,5.022003
20151221,5.059209
20151222,5.104411
20151223,5.161526
20151224,5.156204
20151228,5.156204
20151229,5.198384
20151230,5.167128
20151231,5.115671
20160101,5.115671
20160104,5.061147
20160105,5.075142
20160106,4.99223
20160107,4.899691
20160108,4.825847
20160111,4.819897
20160112,4.867926
20160113,4.747169
20160114,4.803037
20160115,4.712544
20160118,4.712401
20160119,4.711233
20160120,4.666909
20160121,4.679545
20160122,4.779196
20160125,4.702978
20160126,4.770102
20160127,4.713021
20160128,4.704451
20160129,4.81882
20160201,4.845293
20160202,4.747515
20160203,4.747174
20160204,4.755569
20160205,4.688973
20160208,4.589557
20160209,4.611311
20160210,4.622021
20160211,4.552055
20160212,4.653349
20160215,4.653216
20160216,4.748142
20160217,4.811582
20160218,4.808426
20160219,4.793551
20160222,4.872199
20160223,4.823583
20160224,4.857725
20160225,4.914185
20160226,4.907131
20160229,4.869346
20160301,4.973955
20160302,4.992402
20160303,5.030937
20160304,5.037203
20160307,5.051101
20160308,4.995467
20160309,5.024601
20160310,5.036935
20160311,5.132296
20160314,5.118994
20160315,5.093498
20160316,5.129886
20160317,5.148391
20160318,5.182913
20160321,5.183094
20160322,5.190963
20160323,5.153052
20160324,5.148824
20160328,5.148824
20160329,5.208156
20160330,5.221995
20160331,5.215918
20160401,5.24501
20160404,5.233395
20160405,5.162233
20160406,5.202617
20160407,5.129863
20160408,5.138108
20160411,5.129627
20160412,5.178704
20160413,5.238999
20160414,5.21795
20160415,5.216832
20160418,5.244126
20160419,5.262872
20160420,5.268421
20160421,5.222758
20160422,5.252592
20160425,5.235367
20160426,5.259109
20160427,5.270921
20160428,5.221959
20160429,5.167477
20160503,5.163785
20160504,5.124756
20160505,5.106496
20160506,5.111659
20160509,5.126322
20160510,5.173622
20160511,5.113829
20160512,5.102574
20160513,5.064816
20160516,5.114306
20160517,5.071926
20160518,5.075484
20160519,5.055129
20160520,5.0946
20160523,5.075022
20160524,5.142309
20160525,5.168044
20160526,5.167476
20160527,5.198923
20160531,5.205645
20160601,5.212933
20160602,5.240226
20160603,5.216184
20160606,5.240305
20160607,5.257213
20160608,5.276065
20160609,5.266079
20160610,5.210319
20160613,5.152044
20160614,5.139414
20160615,5.135499
20160616,5.154774
20160617,5.150855
20160620,5.191985
20160621,5.200671
20160622,5.194142
20160623,5.262187
20160624,5.061999
20160627,4.945768
20160628,5.037013
20160629,5.122268
20160630,5.209142
20160701,5.215235
20160704,5.215085
20160705,5.161769
20160706,5.190815
20160707,5.167188
20160708,5.259745
20160711,5.272489
20160712,5.3168
20160713,5.323301
20160714,5.348937
20160715,5.338169
20160718,5.353143
