Date,NAV
20150904,4.959302
20150907,4.970444
20150908,5.057505
20150909,5.086381
20150910,5.076637
20150911,5.083878
20150914,5.059815
20150915,5.091455
20150916,5.146056
20150917,5.144507
20150918,5.076514
20150921,5.063988
20150922,4.971809
20150923,4.965396
20150924,4.933471
20150925,4.951928
20150928,4.853725
20150929,4.818198
20150930,4.92033
20151001,4.936426
20151002,4.981227
20151005,5.059423
20151006,5.061084
20151007,5.098608
20151008,5.126517
20151009,5.154064
20151012,5.161484
20151013,5.12085
20151014,5.08742
20151015,5.1546
20151016,5.180468
20151019,5.175004
20151020,5.171402
20151021,5.15655
20151022,5.187365
20151023,5.23067
20151026,5.23283
20151027,5.211617
20151028,5.263774
20151029,5.25165
20151030,5.263846
20151102,5.291016
20151103,5.279221
20151104,5.269752
20151105,5.269341
20151106,5.260034
20151109,5.229913
20151110,5.230221
20151111,5.237862
20151112,5.17435
20151113,5.124882
20151116,5.167006
20151117,5.198873
20151118,5.240365
20151119,5.264498
20151120,5.283165
20151123,5.273961
20151124,5.265519
20151125,5.280032
20151126,5.303708
20151127,5.301389
20151130,5.287026
20151201,5.338797
20151202,5.29806
20151203,5.24059
20151204,5.292412
20151207,5.270878
20151208,5.228123
20151209,5.206421
20151210,5.196835
20151211,5.132019
20151214,5.100793
20151215,5.137455
20151216,5.199765
20151217,5.167794
20151218,5.119056
20151221,5.140717
20151222,5.173256
20151223,5.225845
20151224,5.233778
20151228,5.233778
20151229,5.274865
20151230,5.2558
20151231,5.212583
20160101,5.212583
20160104,5.122241
20160105,5.126982
20160106,5.063149
20160107,4.971607
20160108,4.922276
20160111,4.903246
20160112,4.922246
20160113,4.876491
20160114,4.861813
20160115,4.794019
20160118,4.768355
20160119,4.78106
20160120,4.696527
20160121,4.691564
20160122,4.813676
20160125,4.778174
20160126,4.808478
20160127,4.803718
20160128,4.786955
20160129,4.865081
20160201,4.903234
20160202,4.827154
20160203,4.81536
20160204,4.828607
20160205,4.762074
20160208,4.660068
20160209,4.643273
20160210,4.64738
20160211,4.586438
20160212,4.621166
20160215,4.694002
20160216,4.749826
20160217,4.817823
20160218,4.838682
20160219,4.818246
20160222,4.872821
20160223,4.830936
20160224,4.820174
20160225,4.877116
20160226,4.872897
20160229,4.853334
20160301,4.930748
20160302,4.965006
20160303,5.002756
