Date,NAV
20150904,4.895681
20150907,4.913637
20150908,4.97594
20150909,5.041581
20150910,5.001415
20150911,4.944733
20150914,4.922299
20150915,4.947091
20150916,5.012572
20150917,4.999663
20150918,4.927597
20150921,4.95578
20150922,4.800568
20150923,4.815439
20150924,4.725219
20150925,4.848467
20150928,4.765822
20150929,4.708405
20150930,4.821189
20151001,4.802039
20151002,4.806635
20151005,4.926427
20151006,4.955122
20151007,4.955842
20151008,4.974119
20151009,4.977187
20151012,4.956646
20151013,4.90682
20151014,4.863609
20151015,4.932413
20151016,4.954159
20151019,4.977548
20151020,4.965875
20151021,4.975917
20151022,5.064281
20151023,5.169996
20151026,5.16263
20151027,5.107258
20151028,5.144659
20151029,5.157125
20151030,5.160015
20151102,5.192537
20151103,5.201854
20151104,5.220251
20151105,5.192123
20151106,5.215779
20151109,5.177874
20151110,5.186293
20151111,5.236382
20151112,5.17019
20151113,5.125893
20151116,5.167752
20151117,5.286001
20151118,5.285971
20151119,5.313302
20151120,5.326167
20151123,5.310644
20151124,5.241905
20151125,5.336088
20151126,5.395507
20151127,5.398644
20151130,5.436444
20151201,5.418213
20151202,5.415172
20151203,5.269712
20151204,5.269573
20151207,5.301787
20151208,5.224175
20151209,5.196749
20151210,5.170316
20151211,5.075146
20151214,5.002576
20151215,5.137765
20151216,5.141487
20151217,5.197766
20151218,5.146229
20151221,5.107072
20151222,5.092566
20151223,5.206064
20151224,5.201565
20151228,5.201565
20151229,5.269877
20151230,5.253705
20151231,5.224457
20160101,5.224457
20160104,5.106975
20160105,5.134122
20160106,5.083656
20160107,4.973116
20160108,4.912295
20160111,4.903125
20160112,4.951629
20160113,4.975577
20160114,4.886343
20160115,4.752698
20160118,4.732291
20160119,4.780751
20160120,4.632483
20160121,4.700468
20160122,4.843094
20160125,4.830949
20160126,4.839291
20160127,4.862998
20160128,4.802883
20160129,4.917839
20160201,4.94005
20160202,4.853154
20160203,4.778431
20160204,4.740443
20160205,4.678725
20160208,4.487118
20160209,4.43479
20160210,4.522734
20160211,4.35965
20160212,4.458531
20160215,4.601058
20160216,4.582156
20160217,4.706715
20160218,4.742177
20160219,4.701571
20160222,4.753412
20160223,4.707396
20160224,4.616769
20160225,4.701446
20160226,4.757242
20160229,4.793003
20160301,4.873542
20160302,4.882289
20160303,4.85013
20160304,4.860571
20160307,4.847464
20160308,4.793081
20160309,4.816711
20160310,4.735776
20160311,4.854739
20160314,4.887499
20160315,4.845833
20160316,4.868335
20160317,4.865915
20160318,4.873029
20160321,4.863772
20160322,4.863303
20160323,4.872771
20160324,4.811384
20160328,4.811384
20160329,4.851173
20160330,4.901015
20160331,4.856849
20160401,4.821708
20160404,4.841698
20160405,4.764282
20160406,4.792146
20160407,4.764636
20160408,4.796576
20160411,4.80826
20160412,4.827188
20160413,4.917634
20160414,4.920094
20160415,4.891826
20160418,4.904321
20160419,4.96635
20160420,4.955371
20160421,4.922855
20160422,4.91549
20160425,4.920208
20160426,4.923636
20160427,4.942634
20160428,4.959598
20160429,4.881161
20160503,4.841012
20160504,4.806442
20160505,4.817453
20160506,4.799228
20160509,4.834876
20160510,4.871153
20160511,4.851807
20160512,4.842566
20160513,4.862246
20160516,4.854002
20160517,4.872049
20160518,4.90247
20160519,4.882218
20160520,4.946946
20160523,4.942767
20160524,5.043324
20160525,5.077
20160526,5.083821
20160527,5.099854
20160531,5.086146
20160601,5.034812
20160602,5.045126
20160603,4.993855
20160606,5.000514
20160607,5.049515
20160608,5.022895
20160609,4.979918
20160610,4.855973
20160613,4.764013
20160614,4.679437
20160615,4.702698
20160616,4.665717
20160617,4.732892
20160620,4.921725
20160621,4.946952
20160622,4.961256
20160623,5.035437
20160624,4.6392
20160627,4.37504
20160628,4.494076
20160629,4.6348
20160630,4.673287
20160701,4.723814
20160704,4.65839
20160705,4.547563
20160706,4.468163
20160707,4.526342
20160708,4.616878
20160711,4.708036
20160712,4.763456
20160713,4.75694
20160714,4.79671
20160715,4.770622
20160718,4.804593
20160719,4.789407
20160720,4.851843
20160721,4.830985
20160722,4.813498
20160725,4.835027
20160726,4.839548
20160727,4.880668
20160728,4.840177
20160729,4.876623
20160801,4.848744
20160802,4.805881
20160803,4.784341
20160804,4.815983
20160805,4.87778
20160808,4.889371
20160809,4.928476
20160810,4.927282
20160811,4.962705
20160812,4.951131
20160815,4.946756
20160816,4.907913
20160817,4.868035
20160818,4.918329
20160819,4.879691
20160822,4.904307
20160823,4.948198
20160824,4.96396
20160825,4.918758
20160826,4.939608
20160830,4.945145
20160831,4.938691
20160901,4.962339
20160902,5.039729
20160905,5.043864
20160906,5.033291
20160907,5.035788
20160908,5.022206
20160909,4.956939
20160912,4.918653
20160913,4.884595
20160914,4.882141
20160915,4.921008
20160916,4.891683
20160919,4.935559
20160920,4.934514
20160921,4.955849
20160922,5.018353
20160923,4.986161
20160926,4.910648
20160927,4.917722
20160928,4.958529
20160929,4.937711
20160930,4.962487
20161003,4.972116
20161004,5.017282
20161005,4.982646
20161006,4.961138
20161007,4.886708
20161010,4.907346
20161011,4.890844
20161012,4.876338
20161013,4.833558
20161014,4.886773
20161017,4.850568
20161018,4.934618
20161019,4.958383
20161020,4.942195
20161021,4.951219
20161024,4.943686
20161025,4.93313
20161026,4.91478
20161027,4.91369
20161028,4.915914
20161031,4.91206
20161101,4.861238
20161102,4.810105
20161103,4.824342
20161104,4.769267
20161107,4.824032
20161108,4.830754
20161109,4.901149
20161110,4.883562
20161111,4.867905
20161114,4.880311
20161115,4.910584
20161116,4.920602
20161117,4.959889
20161118,4.957294
20161121,4.969058
20161122,4.991914
20161123,4.990286
20161124,5.006472
20161125,5.021509
20161128,4.997795
20161129,5.028896
20161130,5.008667
20161201,4.984873
20161202,4.979579
20161205,5.011596
20161206,5.045407
20161207,5.079085
20161208,5.125336
20161209,5.169301
20161212,5.129257
20161213,5.170163
20161214,5.137908
20161215,5.171274
20161216,5.201601
20161219,5.20175
20161220,5.214812
20161221,5.213447
20161222,5.212231
20161223,5.222496
20161228,5.243343
20161229,5.224578
20161230,5.247514
20170103,5.288429
20170104,5.27088
20170105,5.279725
20170106,5.276
20170109,5.247323
20170110,5.255902
20170111,5.265799
20170112,5.230651
20170113,5.281168
20170116,5.24108
20170117,5.248773
20170118,5.25134
20170119,5.253704
20170120,5.238998
20170123,5.233899
20170124,5.238414
20170125,5.308143
20170126,5.352205
20170127,5.34102
20170130,5.289687
20170131,5.242318
20170201,5.291882
20170202,5.280943
20170203,5.303911
20170206,5.265143
20170207,5.29792
20170208,5.321685
20170209,5.35161
20170210,5.379744
20170213,5.417489
20170214,5.414804
20170215,5.426633
20170216,5.406333
20170217,5.398007
20170220,5.4085
20170221,5.446173
20170222,5.440505
20170223,5.43573
20170224,5.399071
20170227,5.395779
20170228,5.422667
20170301,5.49357
20170302,5.49577
20170303,5.481999
20170306,5.460875
20170307,5.450415
20170308,5.462337
20170309,5.457955
20170310,5.448616
20170313,5.474015
20170314,5.459991
