Date,NAV
20130502,101.75
20130503,102.84
20130507,103.15
20130508,103.9
20130510,104.4
20130513,104.21
20130514,104.67
20130515,105.5
20130516,105.45
20130517,105.76
20130521,106.27
20130522,106.54
20130523,104.28
20130524,104.08
20130528,105.73
20130529,103.77
20130530,104.15
20130531,103.21
20130603,102.42
20130604,102.75
20130605,101.26
20130606,100.09
20130607,101.37
20130610,101.32
20130611,100.16
20130612,99.85
20130613,99.79
20130614,99.95
20130617,100.69
20130618,100.59
20130619,100.37
20130620,97.41
20130621,96.29
20130624,94.75
20130625,96.12
20130626,97.78
20130627,98.4
20130628,97.92
20130701,99.03
20130702,98.7
20130703,98.13
20130704,100.43
20130705,99.09
20130708,100.48
20130709,101.25
20130710,101.38
20130711,101.96
20130712,101.83
20130715,102.26
20130716,101.55
20130717,102.16
20130718,103.05
20130719,103.08
20130722,103.23
20130723,102.94
20130724,103.52
20130725,103.02
20130726,102.77
20130729,102.81
20130730,102.89
20130731,102.97
20130801,104.16
20130802,104.42
20130805,104.59
20130806,104.18
20130807,104
20130808,104.43
20130809,105.06
20130812,105.13
20130813,105.73
20130814,106.08
20130816,105.33
20130819,104.75
20130820,103.89
20130821,103.36
20130822,104.36
20130823,104.77
20130826,104.71
20130827,102.88
20130828,102.56
20130829,103.29
20130830,102.33
20130902,104.21
20130903,103.78
20130904,104.02
20130905,104.78
20130906,105.3
20130909,105.17
20130910,106.5
20130911,106.9
20130912,106.87
20130913,107.12
20130916,107.79
20130917,107.28
20130918,107.77
20130919,108.39
20130920,108.08
20130923,107.57
20130924,107.75
20130925,107.69
20130926,107.72
20130927,107.43
20130930,106.82
20131001,107.6
20131002,106.87
20131003,106.44
20131004,106.55
20131007,106.31
20131008,105.49
20131009,104.93
20131010,106.69
20131011,107.18
20131014,107.38
20131015,108.3
20131016,108.58
20131017,108.73
20131018,109.61
20131021,109.98
20131022,110.54
20131023,109.87
20131024,110.36
20131025,110.29
20131028,110.13
20131029,110.53
20131030,110.54
20131031,111.01
20131104,111.11
20131105,110.91
20131106,111.4
20131107,111.41
20131108,111.26
20131111,111.55
20131112,110.9
20131113,110.34
20131114,111.25
20131115,111.49
20131118,112.09
20131119,111.35
20131120,111.55
20131121,111.37
20131122,111.46
20131125,111.91
20131126,111.17
20131127,111.77
20131128,112.16
20131129,112.14
20131202,111.77
20131203,110.09
20131204,109.44
20131205,108.45
20131206,109.19
20131209,109.39
20131210,108.59
20131211,108.03
20131212,107.02
20131213,106.84
20131216,108.22
20131217,107.41
20131218,108.33
20131219,110.2
20131220,110.79
20131223,111.59
20131227,113.07
20131230,112.86
20131231,113.25
20140102,112.35
20140103,112.96
20140106,112.7
20140107,113.54
