Date,NAV
20110414,23.1779
20110415,23.3114
20110418,23.4086
20110419,23.1695
20110420,23.2346
20110421,23.4304
20110426,23.5374
20110427,23.5937
20110428,23.5821
20110429,23.5585
20110430,23.5581
20110502,23.5896
20110503,23.5052
20110504,23.2567
20110505,23.542
20110506,23.7132
20110509,24.0566
20110510,24.1475
20110511,24.0903
20110512,23.9958
20110513,23.938
20110516,23.7593
20110517,23.7744
20110518,23.9689
20110519,24.0495
20110520,24.1015
20110523,23.8704
20110524,23.7427
20110525,23.8632
20110526,24.0466
20110527,23.9649
20110530,23.9833
20110531,24.121
20110601,23.8703
20110602,23.5716
20110603,23.3288
20110606,23.1717
20110607,23.1627
20110608,23.137
20110609,23.2544
20110610,23.114
20110613,23.0793
20110614,23.2015
20110615,23.293
20110616,23.3318
20110617,23.1167
20110620,23.0448
20110621,23.2212
20110622,23.1643
20110623,23.2997
20110624,23.3513
20110627,23.1909
20110628,23.2193
20110629,23.4571
20110630,23.5691
20110701,23.7757
20110704,23.9774
20110705,24.0849
20110706,24.3905
20110707,24.3035
20110708,24.5177
20110711,24.4926
20110712,24.1541
20110713,24.0476
20110714,23.9195
20110715,24.0613
20110718,23.9934
20110719,23.9529
20110720,24.1375
20110721,23.9546
20110722,24.2175
20110725,24.0432
20110726,23.8461
20110727,23.7573
20110728,23.8503
20110729,23.671
20110731,23.6704
20110801,23.9463
20110802,23.4861
20110803,23.1506
20110804,22.5935
20110805,21.7963
20110808,20.554
20110809,21.2506
20110810,21.0896
20110811,21.476
20110812,21.6154
20110815,21.7549
20110816,21.7793
20110817,21.7561
20110818,21.2009
20110819,20.6958
20110822,20.783
20110823,21.1409
20110824,21.1188
20110825,21.0906
20110826,21.1855
20110829,21.3964
20110830,21.8072
20110831,22.1324
20110901,22.2147
20110902,21.7844
20110905,21.5537
20110906,21.4474
20110907,22.0302
20110908,22.0778
20110909,21.9828
20110912,21.7176
20110913,21.5949
20110914,21.5557
20110915,21.6814
20110916,21.947
20110919,21.7553
20110920,21.7004
20110921,21.2308
20110922,20.7087
20110923,20.7189
20110926,20.6673
20110927,21.004
20110928,20.8937
20110929,20.9909
20110930,20.8831
20111003,20.3362
20111004,20.2425
20111005,20.313
20111006,20.9408
20111007,20.9371
20111010,21.1613
20111011,20.9704
20111012,21.0602
20111013,21.3216
20111014,21.3568
20111017,21.4775
20111018,21.401
20111019,21.2463
20111020,21.1693
20111021,21.3683
20111024,21.8809
20111025,21.5533
20111026,21.638
20111027,22.0666
20111028,22.4044
20111031,22.3645
20111101,22.0222
20111102,22.0003
20111103,22.1008
20111104,22.2819
20111107,22.2321
20111108,22.3162
20111109,22.291
20111110,21.8506
20111111,22.107
20111114,22.0583
20111115,22.0975
20111116,21.7786
20111117,21.4357
20111118,21.321
